hour,wet,n,mean,sd,p50,p90,p99,cv
0,False,5485,2.222660256429856,2.6186131397578527,1.20866813109097,4.743663012478524,14.49880682278955,1.1781436826355078
0,True,868,1.9317425894324514,2.0288312889984637,1.2011362113157698,3.701647271676223,10.616642687029195,1.0502596464441658
1,False,5312,2.174756693090331,2.5740015762212707,1.162906012304938,4.683745500778487,14.46446359049374,1.1835814021860132
1,True,866,2.115769145253205,2.3334044277390857,1.2870489511000847,3.977623205988876,12.668926165856568,1.102863435254339
2,False,6105,2.142902877357783,2.563263603318144,1.1518599838367074,4.310543328945495,15.075512973562478,1.1961641520957165
3,False,6118,2.028578917657492,2.337722992506882,1.1217135892858643,3.985269189241917,13.378494456936682,1.1523944038649356
4,False,6242,1.9205576068676706,2.1522576823126727,1.1078016426250779,3.6349194304266446,12.903398475069368,1.1206420857236836
5,False,6478,1.883904197302236,1.9873913864923123,1.1517859301412137,3.6417646374394494,11.196394726608768,1.054932299284789
6,False,6605,2.1091692694460917,2.102196234897008,1.337430931341078,4.1334700892026595,11.665224062975154,0.9966939426578526
7,False,6654,2.3771499330207333,2.5918668626946224,1.3677603739597068,4.945381487901833,13.870925257111796,1.0903253626080878
8,False,6685,2.4422962383539226,2.717098561982088,1.3877946836900126,5.019617918576493,14.819960766569025,1.1125180145277458
9,False,6700,2.355659610042001,2.6068163180959067,1.364575430296134,4.679603281761655,14.65878954093061,1.1066184210075358
10,False,5745,2.32512232824063,2.6139540559562713,1.3502867192659582,4.7031577979988075,14.49456163965248,1.1242221642309005
10,True,955,2.6783646645598154,2.9637856284762147,1.4695317565062873,6.483064137428968,14.646989993868482,1.1065653858464817
11,False,5704,2.369836010613567,2.66422672825499,1.3611281999378066,4.955169933718005,14.882769423065845,1.124224088216637
11,True,923,2.7936323005036883,3.365370238358715,1.4423307611563225,7.3277182499258915,15.796954386404769,1.20465754843683
12,False,5608,2.3886633127735197,2.596961632139032,1.3970084150741964,4.924049379988904,14.741714710888706,1.0872028796405189
12,True,940,2.7546957884727954,3.278216894986646,1.4526754751187245,6.964288065067907,15.999470928867071,1.190046795259411
13,False,5682,2.505872683091471,2.7899490373800804,1.4387571141194557,5.167994485891684,15.659692812741836,1.1133642408113675
13,True,933,2.6804561208436493,3.0754559357626796,1.4227941079381572,6.954101727649034,15.462525340867213,1.1473629103074845
14,False,5699,2.6842502986972288,2.9465974773324493,1.5435097246527565,5.635347448713498,16.387665587313975,1.0977357360312292
14,True,929,2.8861148825780707,3.389707895988934,1.5085045963681667,6.418089048914473,17.08372681037593,1.1744882078155603
15,False,5590,2.9844361869631024,3.240355021076553,1.6327726422595918,6.695415131390316,16.717732614780584,1.085751149658143
15,True,927,3.0375806754034405,3.366063817166925,1.6383214083890258,8.536270308613624,15.954229094363638,1.1081397259415526
16,False,6578,3.0449476646057936,3.3709380829970463,1.6513530003765353,6.933296813589382,16.560993150829116,1.1070594487322514
17,False,6525,3.101631238512733,3.463544962405092,1.6489694076522958,7.506513634214349,16.948615710925996,1.116684962221976
18,False,6601,2.7222536201518217,3.0669108513356624,1.4968860045046202,5.845990602205432,15.598124547106265,1.1266073185218572
19,False,6639,2.36029266619979,2.680088348762182,1.3328387382769682,4.963925690998341,13.85202274369103,1.1354898429088804
20,False,6612,2.1720630084186916,2.355431859689305,1.2765966722064164,4.456369885287748,12.418175451318715,1.084421515655805
21,False,6511,2.2220382339659706,2.541906489654365,1.2565168082058222,4.608378468550802,13.771674605564609,1.143952633577093
22,False,6568,2.211816327506207,2.565664996354174,1.2373948418477942,4.628902246062998,14.123251152274738,1.1599810366021337
23,False,6496,2.2224295017464573,2.621595002137188,1.2457944433247499,4.552205796799312,14.40695706466939,1.1796077221243928
