==================================================================================================================================
  Mode: DETERMINISTIC  |  CV=0  |  Cap x1.0  |  ALNS=5000 iters  |  MC=SKIP
==================================================================================================================================
Found 78 instances

Instance        |    N | BKS_V   BKS_Dist | ALNS_V  ALNS_Dist    Time |    Gap%
----------------------------------------------------------------------------------------------------------------------------------
A-n32-k5        |   31 |     5     787.81 |      5     787.08   11.59 |  -0.09%
A-n33-k5        |   32 |     5     662.76 |      5     662.11   11.74 |  -0.10%
A-n33-k6        |   32 |     6     742.83 |      6     742.69   10.97 |  -0.02%
A-n34-k5        |   33 |     5     781.30 |      5     780.94   12.04 |  -0.05%
A-n36-k5        |   35 |     5     802.13 |      5     802.13   15.53 |  -0.00%
A-n37-k5        |   36 |     5     672.59 |      5     672.47   17.71 |  -0.02%
A-n37-k6        |   36 |     6     952.22 |      6     950.85   18.21 |  -0.14%
A-n38-k5        |   37 |     5     734.18 |      5     733.95   17.00 |  -0.03%
A-n39-k5        |   38 |     5     828.99 |      5     828.99   19.73 |   0.00%
A-n39-k6        |   38 |     6     833.20 |      6     835.25   18.57 |   0.25%
A-n44-k6        |   43 |     6     939.33 |      6     938.18   27.64 |  -0.12%
A-n45-k6        |   44 |     6     944.88 |      6     944.88   28.95 |   0.00%
A-n45-k7        |   44 |     7    1147.22 |      7    1148.85   28.44 |   0.14%
A-n46-k7        |   45 |     7     918.46 |      7     917.72   38.15 |  -0.08%
A-n48-k7        |   47 |     7    1074.34 |      7    1087.94   40.32 |   1.27%
A-n53-k7        |   52 |     7    1013.31 |      7    1012.51   61.24 |  -0.08%
A-n54-k7        |   53 |     7    1171.78 |      7    1171.68   57.05 |  -0.01%
A-n55-k9        |   54 |     9    1074.46 |      9    1074.46   59.10 |   0.00%
A-n60-k9        |   59 |     9    1355.80 |      9    1368.25   74.07 |   0.92%
A-n61-k9        |   60 |     9    1039.08 |     10    1046.86   69.84 |   0.75%
A-n62-k8        |   61 |     8    1294.28 |      8    1295.66   79.97 |   0.11%
A-n63-k10       |   62 |    10    1313.73 |     10    1320.72   73.68 |   0.53%
A-n63-k9        |   62 |     9    1622.14 |      9    1637.36   78.50 |   0.94%
A-n64-k9        |   63 |     9    1400.83 |      9    1423.68   87.09 |   1.63%
A-n65-k9        |   64 |     9    1181.69 |      9    1185.79  104.54 |   0.35%
A-n69-k9        |   68 |     9    1165.99 |      9    1171.82  117.67 |   0.50%
A-n80-k10       |   79 |    10    1766.50 |     10    1773.35  218.67 |   0.39%
B-n31-k5        |   30 |     5     676.76 |      5     679.85    9.07 |   0.46%
B-n34-k5        |   33 |     5     791.24 |      5     789.84   11.92 |  -0.18%
B-n35-k5        |   34 |     5     956.29 |      5     956.29   13.87 |   0.00%
B-n38-k6        |   37 |     6     809.45 |      6     808.70   20.69 |  -0.09%
B-n39-k5        |   38 |     5     553.27 |      5     553.16   21.24 |  -0.02%
B-n41-k6        |   40 |     6     834.96 |      6     834.92   26.50 |  -0.00%
B-n43-k6        |   42 |     6     747.54 |      6     746.98   22.74 |  -0.07%
B-n44-k7        |   43 |     7     915.84 |      7     914.96   25.77 |  -0.10%
B-n45-k5        |   44 |     5     755.43 |      5     754.71   29.43 |  -0.10%
B-n45-k6        |   44 |     6     680.44 |      6     687.21   29.96 |   0.99%
