plan_id,seed,split_level,K,distance,delta_frac,lost_route_idx,lost_route_len,lost_route_cost,lost_workload,fully_absorbable,extra_units,max_absorbed_customers,absorbed_customer_frac,max_absorbed_workload,absorbed_workload_frac,min_full_absorption_delta,feasible_block_insertions,lost_route
0,0,0,6,1224767.0,0.05,0,2,25905.0,31.7,0,1,0,0.0,0.0,0.0,,0,88 18
0,0,0,6,1224767.0,0.05,1,18,191301.0,225.59999999999997,0,1,1,0.05555555555555555,3.0,0.013297872340425534,,1,78 31 58 28 94 4 38 5 70 19 23 39 79 57 73 63 11 83
0,0,0,6,1224767.0,0.05,2,20,124228.0,218.30000000000004,0,1,3,0.15,12.2,0.0558863948694457,,5,13 20 49 15 91 33 90 50 93 80 86 6 22 53 96 62 67 59 85 89
0,0,0,6,1224767.0,0.05,3,15,285447.0,210.0,0,1,0,0.0,0.0,0.0,,0,25 9 55 14 54 76 92 40 42 65 52 3 60 26 2
0,0,0,6,1224767.0,0.05,4,22,204741.0,225.9,0,1,2,0.09090909090909091,6.4,0.0283311199645861,,9,68 37 17 43 35 98 81 16 7 69 41 99 95 44 97 84 30 27 45 36 21 61
0,0,0,6,1224767.0,0.05,5,23,393145.0,227.4,0,1,1,0.043478260869565216,2.4,0.010554089709762533,,3,75 8 29 66 71 10 64 82 12 77 87 32 24 74 47 48 34 100 51 1 56 46 72
0,0,0,6,1224767.0,0.1,0,2,25905.0,31.7,0,1,0,0.0,0.0,0.0,,0,88 18
0,0,0,6,1224767.0,0.1,1,18,191301.0,225.59999999999997,0,1,2,0.1111111111111111,6.6,0.029255319148936174,,3,78 31 58 28 94 4 38 5 70 19 23 39 79 57 73 63 11 83
0,0,0,6,1224767.0,0.1,2,20,124228.0,218.30000000000004,0,1,3,0.15,12.2,0.0558863948694457,,8,13 20 49 15 91 33 90 50 93 80 86 6 22 53 96 62 67 59 85 89
0,0,0,6,1224767.0,0.1,3,15,285447.0,210.0,0,1,0,0.0,0.0,0.0,,0,25 9 55 14 54 76 92 40 42 65 52 3 60 26 2
0,0,0,6,1224767.0,0.1,4,22,204741.0,225.9,0,1,6,0.2727272727272727,39.8,0.1761841522797698,,20,68 37 17 43 35 98 81 16 7 69 41 99 95 44 97 84 30 27 45 36 21 61
0,0,0,6,1224767.0,0.1,5,23,393145.0,227.4,0,1,2,0.08695652173913043,8.3,0.036499560246262094,,6,75 8 29 66 71 10 64 82 12 77 87 32 24 74 47 48 34 100 51 1 56 46 72
0,0,0,6,1224767.0,0.2,0,2,25905.0,31.7,0,1,0,0.0,0.0,0.0,,0,88 18
0,0,0,6,1224767.0,0.2,1,18,191301.0,225.59999999999997,0,1,3,0.16666666666666666,9.6,0.04255319148936171,,9,78 31 58 28 94 4 38 5 70 19 23 39 79 57 73 63 11 83
0,0,0,6,1224767.0,0.2,2,20,124228.0,218.30000000000004,0,1,3,0.15,13.099999999999998,0.06000916170407694,,11,13 20 49 15 91 33 90 50 93 80 86 6 22 53 96 62 67 59 85 89
0,0,0,6,1224767.0,0.2,3,15,285447.0,210.0,0,1,1,0.06666666666666667,15.4,0.07333333333333333,,1,25 9 55 14 54 76 92 40 42 65 52 3 60 26 2
0,0,0,6,1224767.0,0.2,4,22,204741.0,225.9,0,1,7,0.3181818181818182,40.4,0.17884019477644975,,31,68 37 17 43 35 98 81 16 7 69 41 99 95 44 97 84 30 27 45 36 21 61
0,0,0,6,1224767.0,0.2,5,23,393145.0,227.4,0,1,2,0.08695652173913043,8.3,0.036499560246262094,,6,75 8 29 66 71 10 64 82 12 77 87 32 24 74 47 48 34 100 51 1 56 46 72
0,0,0,6,1224767.0,0.4,0,2,25905.0,31.7,0,1,0,0.0,0.0,0.0,,0,88 18
0,0,0,6,1224767.0,0.4,1,18,191301.0,225.59999999999997,0,1,4,0.2222222222222222,19.8,0.08776595744680853,,20,78 31 58 28 94 4 38 5 70 19 23 39 79 57 73 63 11 83
0,0,0,6,1224767.0,0.4,2,20,124228.0,218.30000000000004,0,1,4,0.2,27.400000000000002,0.12551534585432889,,15,13 20 49 15 91 33 90 50 93 80 86 6 22 53 96 62 67 59 85 89
0,0,0,6,1224767.0,0.4,3,15,285447.0,210.0,0,1,2,0.13333333333333333,22.8,0.10857142857142857,,3,25 9 55 14 54 76 92 40 42 65 52 3 60 26 2
0,0,0,6,1224767.0,0.4,4,22,204741.0,225.9,0,1,9,0.4090909090909091,48.099999999999994,0.21292607348384238,,58,68 37 17 43 35 98 81 16 7 69 41 99 95 44 97 84 30 27 45 36 21 61
0,0,0,6,1224767.0,0.4,5,23,393145.0,227.4,0,1,4,0.17391304347826086,16.9,0.0743183817062445,,14,75 8 29 66 71 10 64 82 12 77 87 32 24 74 47 48 34 100 51 1 56 46 72
1,0,1,7,1237003.0,0.05,0,2,25905.0,31.7,0,1,1,0.5,10.0,0.31545741324921134,,1,88 18
1,0,1,7,1237003.0,0.05,1,18,191301.0,225.59999999999997,0,1,1,0.05555555555555555,3.0,0.013297872340425534,,1,78 31 58 28 94 4 38 5 70 19 23 39 79 57 73 63 11 83
1,0,1,7,1237003.0,0.05,2,19,124192.0,207.40000000000003,0,1,3,0.15789473684210525,12.2,0.05882352941176469,,5,13 20 49 15 91 33 90 50 93 80 86 6 22 53 96 62 67 59 85
1,0,1,7,1237003.0,0.05,3,15,285447.0,210.0,0,1,0,0.0,0.0,0.0,,0,25 9 55 14 54 76 92 40 42 65 52 3 60 26 2
1,0,1,7,1237003.0,0.05,4,22,204741.0,225.9,0,1,3,0.13636363636363635,17.3,0.0765825586542718,,11,68 37 17 43 35 98 81 16 7 69 41 99 95 44 97 84 30 27 45 36 21 61
1,0,1,7,1237003.0,0.05,5,23,393145.0,227.4,0,1,1,0.043478260869565216,2.4,0.010554089709762533,,3,75 8 29 66 71 10 64 82 12 77 87 32 24 74 47 48 34 100 51 1 56 46 72
1,0,1,7,1237003.0,0.05,6,1,12272.0,10.899999999999999,1,0,1,1.0,10.899999999999999,1.0,36.0,1,89
1,0,1,7,1237003.0,0.1,0,2,25905.0,31.7,0,1,1,0.5,10.0,0.31545741324921134,,1,88 18
1,0,1,7,1237003.0,0.1,1,18,191301.0,225.59999999999997,0,1,3,0.16666666666666666,17.299999999999997,0.07668439716312056,,4,78 31 58 28 94 4 38 5 70 19 23 39 79 57 73 63 11 83
1,0,1,7,1237003.0,0.1,2,19,124192.0,207.40000000000003,0,1,3,0.15789473684210525,12.2,0.05882352941176469,,8,13 20 49 15 91 33 90 50 93 80 86 6 22 53 96 62 67 59 85
1,0,1,7,1237003.0,0.1,3,15,285447.0,210.0,0,1,1,0.06666666666666667,15.4,0.07333333333333333,,1,25 9 55 14 54 76 92 40 42 65 52 3 60 26 2
1,0,1,7,1237003.0,0.1,4,22,204741.0,225.9,0,1,6,0.2727272727272727,47.1,0.20849933598937584,,25,68 37 17 43 35 98 81 16 7 69 41 99 95 44 97 84 30 27 45 36 21 61
1,0,1,7,1237003.0,0.1,5,23,393145.0,227.4,0,1,2,0.08695652173913043,8.3,0.036499560246262094,,7,75 8 29 66 71 10 64 82 12 77 87 32 24 74 47 48 34 100 51 1 56 46 72
