plan_a,seed_a,split_a,plan_b,seed_b,split_b,K,distance_a,distance_b,relative_cost_gap,delta_frac,recovery_rate_a,recovery_rate_b,abs_recovery_gap,absorbed_customer_frac_a,absorbed_customer_frac_b,abs_absorbed_customer_gap,absorbed_workload_frac_a,absorbed_workload_frac_b,abs_absorbed_workload_gap
0,0,0,3,1,0,6,1224767.0,1229609.0,0.003953405014994689,0.05,0.0,0.0,0.0,0.056657151222368606,0.05884924017916345,0.0021920889567948465,0.018011579480703314,0.01351299196163689,0.004498587519066424
0,0,0,3,1,0,6,1224767.0,1229609.0,0.003953405014994689,0.1,0.0,0.0,0.0,0.10346581759625235,0.05884924017916345,0.0446165774170889,0.04963757109073563,0.013956647684795721,0.03568092340593991
0,0,0,3,1,0,6,1224767.0,1229609.0,0.003953405014994689,0.2,0.0,0.0,0.0,0.1314119455423803,0.05884924017916345,0.07256270536321685,0.06520590692491397,0.013956647684795721,0.05124925924011825
0,0,0,3,1,0,6,1224767.0,1229609.0,0.003953405014994689,0.4,0.0,0.0,0.0,0.18975991802078762,0.05884924017916345,0.13091067784162416,0.10151619784377548,0.013956647684795721,0.08755955015897976
0,0,0,6,2,0,6,1224767.0,1228634.0,0.003157335231925746,0.05,0.0,0.0,0.0,0.056657151222368606,0.12298245614035086,0.06632530491798225,0.018011579480703314,0.09201772877869734,0.07400614929799403
0,0,0,6,2,0,6,1224767.0,1228634.0,0.003157335231925746,0.1,0.0,0.0,0.0,0.10346581759625235,0.17286549707602336,0.069399679479771,0.04963757109073563,0.10027189228926738,0.05063432119853174
0,0,0,6,2,0,6,1224767.0,1228634.0,0.003157335231925746,0.2,0.0,0.0,0.0,0.1314119455423803,0.1826694186446508,0.051257473102270495,0.06520590692491397,0.10683335948167048,0.04162745255675651
0,0,0,6,2,0,6,1224767.0,1228634.0,0.003157335231925746,0.4,0.0,0.0,0.0,0.18975991802078762,0.1826694186446508,0.007090499376136816,0.10151619784377548,0.11077230729487414,0.009256109451098657
0,0,0,9,3,0,6,1224767.0,1227486.0,0.002220014092476365,0.05,0.0,0.0,0.0,0.056657151222368606,0.0639035280339628,0.0072463768115942,0.018011579480703314,0.022329265363368763,0.004317685882665449
0,0,0,9,3,0,6,1224767.0,1227486.0,0.002220014092476365,0.1,0.0,0.0,0.0,0.10346581759625235,0.09589006002049479,0.007575757575757569,0.04963757109073563,0.04815779259003017,0.0014797785007054642
0,0,0,9,3,0,6,1224767.0,1227486.0,0.002220014092476365,0.2,0.0,0.0,0.0,0.1314119455423803,0.12383618796662273,0.007575757575757583,0.06520590692491397,0.06601461373880282,0.0008087068138888515
0,0,0,9,3,0,6,1224767.0,1227486.0,0.002220014092476365,0.4,0.0,0.0,0.0,0.18975991802078762,0.1973356755965452,0.007575757575757569,0.10151619784377548,0.10888792492625554,0.007371727082480059
0,0,0,12,4,0,6,1224767.0,1225617.0,0.0006940095544703605,0.05,0.0,0.0,0.0,0.056657151222368606,0.2542606516290727,0.19760350040670407,0.018011579480703314,0.18657500852813524,0.16856342904743193
0,0,0,12,4,0,6,1224767.0,1225617.0,0.0006940095544703605,0.1,0.0,0.0,0.0,0.10346581759625235,0.30645363408521303,0.2029878164889607,0.04963757109073563,0.24174702065909348,0.19210944956835785
0,0,0,12,4,0,6,1224767.0,1225617.0,0.0006940095544703605,0.2,0.0,0.0,0.0,0.1314119455423803,0.358249791144528,0.22683784560214768,0.06520590692491397,0.25250618272203534,0.18730027579712138
0,0,0,12,4,0,6,1224767.0,1225617.0,0.0006940095544703605,0.4,0.0,0.0,0.0,0.18975991802078762,0.448015873015873,0.25825595499508536,0.10151619784377548,0.35293544461847787,0.2514192467747024
