plan_id,seed,split_level,K,distance,solve_time,recovery_rate_d0.05,mean_absorbed_customer_frac_d0.05,mean_absorbed_workload_frac_d0.05,mean_full_absorption_delta_d0.05,recovery_rate_d0.1,mean_absorbed_customer_frac_d0.1,mean_absorbed_workload_frac_d0.1,mean_full_absorption_delta_d0.1,recovery_rate_d0.2,mean_absorbed_customer_frac_d0.2,mean_absorbed_workload_frac_d0.2,mean_full_absorption_delta_d0.2,recovery_rate_d0.4,mean_absorbed_customer_frac_d0.4,mean_absorbed_workload_frac_d0.4,mean_full_absorption_delta_d0.4
0,0,0,6,1224767.0,8.01235842704773,0.0,0.056657151222368606,0.018011579480703314,nan,0.0,0.10346581759625235,0.04963757109073563,nan,0.0,0.1314119455423803,0.06520590692491397,nan,0.0,0.18975991802078762,0.10151619784377548,nan
1,0,1,7,1237003.0,8.021871328353882,0.14285714285714285,0.2704703128044089,0.2106736376236337,36.0,0.14285714285714285,0.3215588378059774,0.25275679562758113,36.0,0.14285714285714285,0.3410393572864968,0.2601465798703292,36.0,0.14285714285714285,0.40080735435426507,0.2980151459085999,36.0
2,0,2,8,1255447.0,8.02537202835083,0.25,0.36190855927698035,0.31265738683933064,17.0,0.25,0.40775518341307815,0.3499925673613523,17.0,0.25,0.4248006379585327,0.35442261607901127,17.0,0.25,0.48592503987240826,0.3908965277192877,17.0
3,1,0,6,1229609.0,5.651859283447266,0.0,0.05884924017916345,0.01351299196163689,nan,0.0,0.05884924017916345,0.013956647684795721,nan,0.0,0.05884924017916345,0.013956647684795721,nan,0.0,0.05884924017916345,0.013956647684795721,nan
4,1,1,7,1248053.0,5.65980863571167,0.2857142857142857,0.32994531145791645,0.3010561500393375,17.0,0.2857142857142857,0.32994531145791645,0.3010561500393375,17.0,0.2857142857142857,0.32994531145791645,0.3010561500393375,17.0,0.2857142857142857,0.32994531145791645,0.3020726856858542,17.0
5,1,2,8,1253171.0,5.664487838745117,0.25,0.3217807279280896,0.27756805066636625,3537.5,0.375,0.4665541197409551,0.41011943710222953,5413.333333333333,0.375,0.4728041197409551,0.4199789878262256,5413.333333333333,0.375,0.5056511830514051,0.43797399055036923,4938.333333333333
6,2,0,6,1228634.0,6.704920768737793,0.0,0.12298245614035086,0.09201772877869734,nan,0.0,0.17286549707602336,0.10027189228926738,nan,0.0,0.1826694186446508,0.10683335948167048,nan,0.0,0.1826694186446508,0.11077230729487414,nan
7,2,1,7,1240870.0,6.709327220916748,0.14285714285714285,0.2486883876357561,0.22569764499285447,36.0,0.2857142857142857,0.3703926482873851,0.3237538889785262,7305.0,0.2857142857142857,0.3924468032827165,0.3425122720753117,7305.0,0.2857142857142857,0.40925352597179226,0.3434429375010911,7305.0
8,2,2,8,1259314.0,6.716629266738892,0.25,0.34996345029239767,0.323555941827409,17.0,0.375,0.44471856725146197,0.40705068523636173,4869.333333333333,0.375,0.4642242862057104,0.42348004000029643,4869.333333333333,0.375,0.47893016855865156,0.42592764750917744,4869.333333333333
9,3,0,6,1227486.0,8.01224398612976,0.0,0.0639035280339628,0.022329265363368763,nan,0.0,0.09589006002049479,0.04815779259003017,nan,0.0,0.12383618796662273,0.06601461373880282,nan,0.0,0.1973356755965452,0.10888792492625554,nan
10,3,1,7,1234746.0,8.025058031082153,0.0,0.04856327247631594,0.015057184161695672,nan,0.0,0.06920446703055398,0.022057163670461948,nan,0.0,0.06920446703055398,0.022617876398640872,nan,0.0,0.09287596461509505,0.034037600354366496,nan
11,3,2,8,1246688.0,8.022597074508667,0.125,0.19094977912113462,0.1594237715199882,429.0,0.125,0.22646477563357356,0.1759981218195468,429.0,0.125,0.2478328683251957,0.19135433411780098,429.0,0.25,0.4224371270247229,0.35077156463575865,4474.0
12,4,0,6,1225617.0,8.023906707763672,0.0,0.2542606516290727,0.18657500852813524,nan,0.0,0.30645363408521303,0.24174702065909348,nan,0.0,0.358249791144528,0.25250618272203534,nan,0.0,0.448015873015873,0.35293544461847787,nan
13,4,1,7,1281914.0,8.039974451065063,0.0,0.18463861517146904,0.16175175409212736,nan,0.0,0.2629996315841363,0.2268068336699227,nan,0.2857142857142857,0.48850386836656856,0.43277931917746726,26467.5,0.2857142857142857,0.6300092882309293,0.5890985787911351,21004.0
14,4,2,8,1291704.0,8.044708013534546,0.125,0.2816568274907217,0.25392622551870675,1916.0,0.125,0.3575756580282761,0.31816859343909887,1916.0,0.375,0.5557088586769566,0.5096656408132277,18283.666666666668,0.375,0.6807515912543507,0.6429003928401343,14641.333333333334
15,5,0,6,1223304.0,8.043681144714355,0.0,0.015579710144927537,0.003975827808679762,nan,0.0,0.024351639969488942,0.006087649164652808,nan,0.0,0.024351639969488942,0.006530322914099465,nan,0.0,0.03192739754524652,0.008558426637118442,nan
16,5,1,7,1232474.0,8.049582481384277,0.14285714285714285,0.18198757763975154,0.15879951354080887,429.0,0.14285714285714285,0.19613526570048312,0.16182703187299974,429.0,0.14285714285714285,0.20977162933684673,0.16242609387800783,429.0,0.14285714285714285,0.2162651358303532,0.16640678360473812,429.0
17,5,2,8,1305317.0,8.060624837875366,0.125,0.19900156455862977,0.16803141440578026,429.0,0.25,0.3543684123847167,0.30833011684822187,3448.5,0.25,0.4409852602108037,0.4400762033117911,3448.5,0.375,0.5814270421607378,0.549510260036597,28494.666666666668
18,6,0,6,1242246.0,4.028050899505615,0.0,0.05884924017916345,0.013621440392366286,nan,0.0,0.05884924017916345,0.014065096115525115,nan,0.0,0.05884924017916345,0.014065096115525115,nan,0.0,0.05884924017916345,0.014065096115525115,nan
19,6,1,7,1256124.0,4.03474235534668,0.0,0.07924558076472388,0.021326023814312433,nan,0.0,0.08718208870123181,0.028361135995831004,nan,0.0,0.09558545004576964,0.03323985516026445,nan,0.14285714285714285,0.260700618920337,0.1882812118025698,6136.0
20,6,2,8,1271694.0,4.038830041885376,0.125,0.2008326466985102,0.14698562869983842,36.0,0.25,0.33784637667562684,0.28413116920558823,2725.0,0.25,0.3905940546942027,0.3320346191752875,2725.0,0.25,0.510108080400179,0.47650965742298346,2725.0
21,7,0,6,1232962.0,6.15473747253418,0.0,0.03857585139318886,0.008664003914871812,nan,0.0,0.03857585139318886,0.008664003914871812,nan,0.0,0.03857585139318886,0.008664003914871812,nan,0.0,0.03857585139318886,0.008664003914871812,nan
22,7,1,7,1241486.0,6.162477493286133,0.14285714285714285,0.1907330827067669,0.15961746093617898,1432.0,0.14285714285714285,0.20438387635756056,0.1699053017096698,1432.0,0.14285714285714285,0.2198391812865497,0.17065179486558843,1432.0,0.14285714285714285,0.2198391812865497,0.17274539092470173,1432.0
23,7,2,8,1259930.0,6.165006637573242,0.375,0.41230811403508777,0.3883980819957155,488.6666666666667,0.375,0.4244608918128655,0.39743317137611245,488.6666666666667,0.375,0.437984283625731,0.39808635288754124,488.6666666666667,0.375,0.4431926169590643,0.4012440183927677,488.6666666666667
24,8,0,6,1228267.0,6.571117401123047,0.0,0.07713801767846727,0.026862450007773483,nan,0.0,0.09271772782339481,0.029376165072520406,nan,0.0,0.10252164939202224,0.032743168439523775,nan,0.0,0.10252164939202224,0.032743168439523775,nan
25,8,1,7,1240503.0,6.5824384689331055,0.14285714285714285,0.2808217260969987,0.22419083450662544,36.0,0.14285714285714285,0.3013186205069366,0.26015681035251115,36.0,0.14285714285714285,0.31686483899433154,0.2756851875087928,36.0,0.14285714285714285,0.34030579432383173,0.27629458254049855,36.0
26,8,2,8,1258947.0,6.585805416107178,0.25,0.38583161334709326,0.3282620411819799,17.0,0.25,0.3977634315289114,0.3633955684549491,17.0,0.25,0.411366372705382,0.3719131899749338,17.0,0.25,0.4318772086186947,0.3733482865295522,17.0
