plan_id,seed,generation,K,distance,solve_time,min_route_len,max_route_len,mean_route_len,std_route_len,route_len_signature,min_route_delivery,max_route_delivery,mean_route_delivery,std_route_delivery,route_delivery_signature,recovery_rate_d0.05,mean_absorbed_customer_frac_d0.05,mean_absorbed_workload_frac_d0.05,sub_len_n_d0.05,recovery_rate_sub_len_d0.05,mean_absorbed_customer_frac_sub_len_d0.05,mean_absorbed_workload_frac_sub_len_d0.05,sub_work_n_d0.05,recovery_rate_sub_work_d0.05,mean_absorbed_customer_frac_sub_work_d0.05,mean_absorbed_workload_frac_sub_work_d0.05,sub_either_n_d0.05,recovery_rate_sub_either_d0.05,mean_absorbed_customer_frac_sub_either_d0.05,mean_absorbed_workload_frac_sub_either_d0.05,recovery_rate_d0.1,mean_absorbed_customer_frac_d0.1,mean_absorbed_workload_frac_d0.1,sub_len_n_d0.1,recovery_rate_sub_len_d0.1,mean_absorbed_customer_frac_sub_len_d0.1,mean_absorbed_workload_frac_sub_len_d0.1,sub_work_n_d0.1,recovery_rate_sub_work_d0.1,mean_absorbed_customer_frac_sub_work_d0.1,mean_absorbed_workload_frac_sub_work_d0.1,sub_either_n_d0.1,recovery_rate_sub_either_d0.1,mean_absorbed_customer_frac_sub_either_d0.1,mean_absorbed_workload_frac_sub_either_d0.1,recovery_rate_d0.2,mean_absorbed_customer_frac_d0.2,mean_absorbed_workload_frac_d0.2,sub_len_n_d0.2,recovery_rate_sub_len_d0.2,mean_absorbed_customer_frac_sub_len_d0.2,mean_absorbed_workload_frac_sub_len_d0.2,sub_work_n_d0.2,recovery_rate_sub_work_d0.2,mean_absorbed_customer_frac_sub_work_d0.2,mean_absorbed_workload_frac_sub_work_d0.2,sub_either_n_d0.2,recovery_rate_sub_either_d0.2,mean_absorbed_customer_frac_sub_either_d0.2,mean_absorbed_workload_frac_sub_either_d0.2,recovery_rate_d0.4,mean_absorbed_customer_frac_d0.4,mean_absorbed_workload_frac_d0.4,sub_len_n_d0.4,recovery_rate_sub_len_d0.4,mean_absorbed_customer_frac_sub_len_d0.4,mean_absorbed_workload_frac_sub_len_d0.4,sub_work_n_d0.4,recovery_rate_sub_work_d0.4,mean_absorbed_customer_frac_sub_work_d0.4,mean_absorbed_workload_frac_sub_work_d0.4,sub_either_n_d0.4,recovery_rate_sub_either_d0.4,mean_absorbed_customer_frac_sub_either_d0.4,mean_absorbed_workload_frac_sub_either_d0.4
0,0,direct_fixed_k,7,1246180.0,11.42128300666809,7,23,14.285714285714286,5.364280958719596,7 8 12 14 18 18 23,37.4,149.39999999999998,107.57142857142857,42.988593646146064,37.400 56.200 89.200 135.200 138.300 147.300 149.400,0.0,0.21482796016957506,0.17898268618914176,5.0,0.0,0.13647342995169082,0.09806609882904965,6.0,0.0,0.15539452495974235,0.1138050823575414,6.0,0.0,0.15539452495974235,0.1138050823575414,0.0,0.3174110223799665,0.27384621605980325,5.0,0.0,0.1729468599033816,0.12134082164636535,6.0,0.0,0.22745571658615135,0.17965901803863782,6.0,0.0,0.22745571658615135,0.17965901803863782,0.14285714285714285,0.43900966183574885,0.4058094335996777,5.0,0.0,0.2896135265700483,0.24013320703954877,6.0,0.0,0.345511272141707,0.3067776725329573,6.0,0.0,0.345511272141707,0.3067776725329573,0.2857142857142857,0.6330474218672977,0.6006072510375002,5.0,0.0,0.4862663906142167,0.44085015145250034,6.0,0.16666666666666666,0.5718886588451807,0.5340417928770836,6.0,0.16666666666666666,0.5718886588451807,0.5340417928770836
1,0,direct_fixed_k,8,1270239.0,16.76161789894104,5,23,12.5,6.020797289396148,5 5 8 11 14 16 18 23,33.3,149.39999999999998,94.125,48.246003720515546,33.300 38.000 40.900 81.100 124.700 138.300 147.300 149.400,0.0,0.2601064997804128,0.23460388351548406,5.0,0.0,0.10617039964866053,0.07847593529229041,5.0,0.0,0.10617039964866053,0.07847593529229041,5.0,0.0,0.10617039964866053,0.07847593529229041,0.25,0.46353686319718923,0.4328334393924395,5.0,0.0,0.18165898111550285,0.13820977797247094,5.0,0.0,0.18165898111550285,0.13820977797247094,5.0,0.0,0.18165898111550285,0.13820977797247094,0.375,0.5521416611769873,0.5258564407435486,5.0,0.0,0.2834266578831796,0.24137030518967778,5.0,0.0,0.2834266578831796,0.24137030518967778,5.0,0.0,0.2834266578831796,0.24137030518967778,0.375,0.7146758736432648,0.6788390676987827,5.0,0.0,0.5434813978292239,0.4861425083180523,5.0,0.0,0.5434813978292239,0.4861425083180523,5.0,0.0,0.5434813978292239,0.4861425083180523
2,1,direct_fixed_k,7,1235689.0,17.31009602546692,6,21,14.285714285714286,5.848425568702491,6 6 13 16 17 21 21,35.8,147.2,107.57142857142857,41.77438430035169,35.800 53.400 110.500 124.600 135.300 146.200 147.200,0.14285714285714285,0.33198279311724693,0.30946517379820415,5.0,0.0,0.13144257703081233,0.08775416729409392,6.0,0.0,0.22064659197012138,0.19437603609790477,6.0,0.0,0.22064659197012138,0.19437603609790477,0.2857142857142857,0.45308123249299725,0.43335189592789963,5.0,0.0,0.23431372549019608,0.20669265429905953,6.0,0.16666666666666666,0.36192810457516345,0.33891054524921627,6.0,0.16666666666666666,0.36192810457516345,0.33891054524921627,0.2857142857142857,0.5632002801120448,0.526878918133626,5.0,0.0,0.38848039215686275,0.3376304853870764,6.0,0.16666666666666666,0.4904003267973856,0.4480254044892303,6.0,0.16666666666666666,0.4904003267973856,0.4480254044892303,0.2857142857142857,0.6648101548311632,0.638134779217668,5.0,0.0,0.5307342167636285,0.49338869090473514,6.0,0.16666666666666666,0.6089451806363572,0.5778239090872793,6.0,0.16666666666666666,0.6089451806363572,0.5778239090872793
3,1,direct_fixed_k,8,1279890.0,13.100312948226929,5,23,12.5,5.722761571129799,5 5 10 12 13 14 18 23,33.3,149.4,94.125,45.63857332345085,33.300 35.800 54.400 89.200 105.300 138.300 147.300 149.400,0.0,0.25997538089929395,0.2368993336975581,6.0,0.0,0.21330050786572527,0.20595470847822617,6.0,0.0,0.21330050786572527,0.20595470847822617,6.0,0.0,0.21330050786572527,0.20595470847822617,0.25,0.48106187290969904,0.4451465053056567,6.0,0.16666666666666666,0.34141583054626534,0.29825890286134865,6.0,0.16666666666666666,0.34141583054626534,0.29825890286134865,6.0,0.16666666666666666,0.34141583054626534,0.29825890286134865,0.375,0.5442563173541435,0.5134956211893329,6.0,0.16666666666666666,0.3923417564721912,0.3513274949191105,6.0,0.16666666666666666,0.3923417564721912,0.3513274949191105,6.0,0.16666666666666666,0.3923417564721912,0.3513274949191105,0.375,0.7056474624409407,0.6782295570823876,6.0,0.16666666666666666,0.6075299499212542,0.5709727427765169,6.0,0.16666666666666666,0.6075299499212542,0.5709727427765169,6.0,0.16666666666666666,0.6075299499212542,0.5709727427765169
4,2,direct_fixed_k,7,1245950.0,13.141180753707886,7,23,14.285714285714286,5.364280958719596,7 8 12 14 18 18 23,48.50000000000001,149.4,107.57142857142857,39.66177412232858,48.500 56.200 89.200 124.100 138.300 147.300 149.400,0.0,0.20349009168884943,0.16928798951645577,5.0,0.0,0.09202898550724639,0.07369926375441059,7.0,0.0,0.20349009168884943,0.16928798951645577,7.0,0.0,0.20349009168884943,0.16928798951645577,0.0,0.34320467317361725,0.30468017156485444,5.0,0.0,0.18405797101449275,0.15173851470060018,7.0,0.0,0.34320467317361725,0.30468017156485444,7.0,0.0,0.34320467317361725,0.30468017156485444,0.14285714285714285,0.44297791580400275,0.41378662695868945,5.0,0.0,0.29516908212560383,0.2513012777421653,7.0,0.14285714285714285,0.44297791580400275,0.41378662695868945,7.0,0.14285714285714285,0.44297791580400275,0.41378662695868945,0.2857142857142857,0.6710292812777284,0.6367266990402134,5.0,0.0,0.5394409937888198,0.4914173786562987,7.0,0.2857142857142857,0.6710292812777284,0.6367266990402134,7.0,0.2857142857142857,0.6710292812777284,0.6367266990402134
5,2,direct_fixed_k,8,1261484.0,17.368716716766357,5,25,12.5,6.06217782649107,5 6 8 12 13 15 16 25,33.8,146.20000000000002,94.125,44.69934982748631,33.800 35.800 49.500 97.700 120.000 124.600 145.400 146.200,0.125,0.3729166666666667,0.36062526221708224,5.0,0.0,0.11166666666666666,0.07040158781565649,5.0,0.0,0.11166666666666666,0.07040158781565649,5.0,0.0,0.11166666666666666,0.07040158781565649,0.375,0.5264583333333333,0.4990734611066621,5.0,0.0,0.24233333333333335,0.19851753777065936,5.0,0.0,0.24233333333333335,0.19851753777065936,5.0,0.0,0.24233333333333335,0.19851753777065936,0.375,0.6451041666666667,0.6316324766978404,5.0,0.0,0.43216666666666664,0.41061196271654454,5.0,0.0,0.43216666666666664,0.41061196271654454,5.0,0.0,0.43216666666666664,0.41061196271654454,0.375,0.7820032051282051,0.7294132501336205,5.0,0.0,0.6512051282051281,0.5670612002137928,5.0,0.0,0.6512051282051281,0.5670612002137928,5.0,0.0,0.6512051282051281,0.5670612002137928
6,3,direct_fixed_k,7,1239200.0,12.393457174301147,5,23,14.285714285714286,5.699982098074286,5 10 13 14 14 21 23,34.2,149.0,107.57142857142857,43.37045453451707,34.200 61.800 84.800 134.100 141.800 147.300 149.000,0.14285714285714285,0.26433235501558483,0.22750953073531824,6.0,0.0,0.1417210808515156,0.0987611191912046,6.0,0.0,0.1417210808515156,0.0987611191912046,6.0,0.0,0.1417210808515156,0.0987611191912046,0.14285714285714285,0.3895024230427957,0.3575737912268759,6.0,0.0,0.28775282688326165,0.2505027564313552,6.0,0.0,0.28775282688326165,0.2505027564313552,6.0,0.0,0.28775282688326165,0.2505027564313552,0.14285714285714285,0.5158601233135395,0.4798227662052489,6.0,0.0,0.43517014386579606,0.39312656057279033,6.0,0.0,0.43517014386579606,0.39312656057279033,6.0,0.0,0.43517014386579606,0.39312656057279033,0.2857142857142857,0.6497736218233114,0.6070536412370584,6.0,0.16666666666666666,0.5914025587938632,0.5415625814432348,6.0,0.16666666666666666,0.5914025587938632,0.5415625814432348,6.0,0.16666666666666666,0.5914025587938632,0.5415625814432348
7,3,direct_fixed_k,8,1262365.0,14.186567068099976,6,23,12.5,5.024937810560445,6 7 10 11 14 14 15 23,39.7,147.29999999999998,94.125,41.39582557456729,39.700 45.800 61.800 73.200 109.300 134.100 141.800 147.300,0.125,0.31685253152644455,0.2762593746849481,6.0,0.0,0.1605652801304975,0.11697971269468489,6.0,0.0,0.1605652801304975,0.11697971269468489,6.0,0.0,0.1605652801304975,0.11697971269468489,0.125,0.44912714097496703,0.44746512576587943,6.0,0.0,0.31312190225233705,0.30700268134904146,6.0,0.0,0.31312190225233705,0.30700268134904146,6.0,0.0,0.31312190225233705,0.30700268134904146,0.375,0.6083498023715415,0.5860023983592157,6.0,0.16666666666666666,0.4777997364953887,0.44800319781228776,6.0,0.16666666666666666,0.4777997364953887,0.44800319781228776,6.0,0.16666666666666666,0.4777997364953887,0.44800319781228776,0.5,0.7595496894409938,0.7385573654465916,6.0,0.3333333333333333,0.679399585921325,0.6514098205954555,6.0,0.3333333333333333,0.679399585921325,0.6514098205954555,6.0,0.3333333333333333,0.679399585921325,0.6514098205954555
8,4,direct_fixed_k,7,1229294.0,18.44908094406128,5,23,14.285714285714286,6.496466857658327,5 6 13 15 16 22 23,30.0,149.20000000000002,107.57142857142857,48.22905805441702,30.000 35.800 122.700 124.600 143.400 147.300 149.200,0.14285714285714285,0.25063758705063055,0.21865805341471103,5.0,0.0,0.07089262187088274,0.0394546081139288,5.0,0.0,0.07089262187088274,0.0394546081139288,5.0,0.0,0.07089262187088274,0.0394546081139288,0.2857142857142857,0.4072816676077546,0.37844034137333066,5.0,0.0,0.17019433465085637,0.12981647792266288,5.0,0.0,0.17019433465085637,0.12981647792266288,5.0,0.0,0.17019433465085637,0.12981647792266288,0.2857142857142857,0.4916431394692264,0.467322792761038,5.0,0.0,0.288300395256917,0.2542519098654533,5.0,0.0,0.288300395256917,0.2542519098654533,5.0,0.0,0.288300395256917,0.2542519098654533,0.2857142857142857,0.6349368023281067,0.5982466680577675,5.0,0.0,0.48891152325934933,0.4375453352808744,5.0,0.0,0.48891152325934933,0.4375453352808744,5.0,0.0,0.48891152325934933,0.4375453352808744
9,4,direct_fixed_k,8,1268134.0,16.650052309036255,6,24,12.5,5.545268253204709,6 7 7 13 14 14 15 24,35.8,148.10000000000002,94.125,43.838303742275436,35.800 40.000 45.800 98.900 118.000 124.600 141.800 148.100,0.125,0.3053571428571428,0.27704936504348326,5.0,0.0,0.06,0.04328980482377974,5.0,0.0,0.06,0.04328980482377974,5.0,0.0,0.06,0.04328980482377974,0.25,0.47321428571428575,0.48236128640502896,5.0,0.0,0.21428571428571427,0.22423707464148893,5.0,0.0,0.21428571428571427,0.22423707464148893,5.0,0.0,0.21428571428571427,0.22423707464148893,0.375,0.6105654761904762,0.5961035194689666,5.0,0.0,0.3769047619047619,0.35376563115034637,5.0,0.0,0.3769047619047619,0.35376563115034637,5.0,0.0,0.3769047619047619,0.35376563115034637,0.5,0.7855998168498168,0.7660444979254766,5.0,0.2,0.656959706959707,0.6256711966807624,5.0,0.2,0.656959706959707,0.6256711966807624,5.0,0.2,0.656959706959707,0.6256711966807624
