Instance,Plan,N_cust,K_routes,Travel_km,Fixed_cost,none_rec,none_TBC,none_S,none_HO,none_fail,v1_end_rec,v1_end_TBC,v1_end_S,v1_end_HO,v1_end_fail,v1_end_saving,v1_end_gap,v1_myo_rec,v1_myo_TBC,v1_myo_S,v1_myo_HO,v1_myo_fail,v1_myo_saving,v1_myo_gap,fb_tau_rec,fb_tau_TBC,fb_tau_S,fb_tau_HO,fb_tau_fail,fb_tau_saving,fb_tau_gap,pi1_rec,pi1_TBC,pi1_S,pi1_HO,pi1_fail,pi1_saving,pi1_gap,pi2_rec,pi2_TBC,pi2_S,pi2_HO,pi2_fail,pi2_saving,pi2_gap,pi3_rec,pi3_TBC,pi3_S,pi3_HO,pi3_fail,pi3_saving,pi3_gap,rollout_rec,rollout_TBC,rollout_S,rollout_HO,rollout_fail,rollout_saving,rollout_gap,restock_rec,restock_TBC,restock_S,restock_HO,restock_fail,restock_saving,restock_gap,v2_lsm_rec,v2_lsm_TBC,v2_lsm_S,v2_lsm_HO,v2_lsm_fail,v2_lsm_saving,v2_lsm_gap,v2_act_rec,v2_act_TBC,v2_act_S,v2_act_HO,v2_act_fail,v2_act_saving,v2_act_gap,dp_n_rec,dp_n_TBC,dp_n_S,dp_n_HO,dp_n_fail,dp_n_saving,dp_n_gap,dp_xl_rec,dp_xl_TBC,dp_xl_S,dp_xl_HO,dp_xl_fail,dp_xl_saving,dp_xl_gap,oracle_rec,oracle_TBC,oracle_S,oracle_HO,oracle_fail,oracle_saving,solve_s,eval_s
CON3-2,Det,50,4,523.46,192.35,95.55,287.9,0,0.0,0.311,74.09,266.44,3,0.226,0.1098,22.46,38.02,83.52,275.86,3,0.3396,0.0625,12.59,65.25,73.7,266.05,3,0.2423,0.0951,22.87,36.89,78.67,271.01,3,0.2525,0.1065,17.67,51.24,85.12,277.47,2,0.1565,0.1759,10.91,69.88,81.32,273.67,2,0.1779,0.1492,14.89,58.91,77.79,270.14,3,0.3049,0.0676,18.58,48.71,94.94,287.28,0,0.0101,0.3048,0.64,98.23,72.86,265.2,3,0.252,0.0877,23.75,34.45,72.52,264.87,3,0.2465,0.0876,24.1,33.49,72.82,265.17,3,0.2554,0.0853,23.79,34.35,72.64,264.99,3,0.2456,0.0915,23.97,33.84,60.93,253.27,3,0.2616,0.0494,36.23,0.0,1.4
CON3-2,SAA,50,5,570.07,232.01,5.65,237.66,0,0.0,0.0241,5.23,237.24,1,0.022,0.005,7.49,72.02,6.24,238.25,1,0.0293,0.0028,-10.41,138.88,5.23,237.24,1,0.022,0.005,7.49,72.02,5.26,237.26,0,0.0103,0.0145,7.01,73.82,5.12,237.13,0,0.0096,0.0146,9.46,64.67,5.06,237.07,0,0.0106,0.0137,10.4,61.15,5.25,237.26,1,0.023,0.0041,7.13,73.36,3.15,235.16,1,0.0256,0.0073,44.28,-65.42,4.87,236.88,0,0.0178,0.0075,13.82,48.38,2.58,234.59,0,0.0,0.0039,54.34,-102.97,5.23,237.24,0,0.009,0.0158,7.43,72.25,4.74,236.75,0,0.018,0.007,16.15,39.67,4.14,236.15,1,0.0241,0.0,26.77,0.0,1.4
CON3-0,Det,50,4,617.59,201.76,84.67,286.43,0,0.0,0.252,77.58,279.34,2,0.148,0.125,8.37,56.09,88.39,290.14,2,0.2213,0.0909,-4.39,123.03,76.23,277.99,2,0.1451,0.1201,9.97,47.67,79.8,281.56,2,0.1388,0.1401,5.75,69.81,78.65,280.41,2,0.1435,0.1339,7.11,62.7,77.38,279.14,1,0.1087,0.1477,8.61,54.83,79.75,281.51,2,0.1804,0.1005,5.81,69.51,78.65,280.41,1,0.0875,0.1929,7.11,62.69,74.01,275.77,2,0.1451,0.1174,12.59,33.93,70.16,271.92,1,0.0444,0.1298,17.14,10.08,74.84,276.6,2,0.1338,0.1295,11.61,39.09,73.79,275.55,2,0.1445,0.1179,12.84,32.6,68.53,270.29,2,0.1659,0.0861,19.06,0.0,1.4
CON3-0,SAA,50,5,700.38,245.04,8.73,253.77,0,0.0,0.0344,7.78,252.82,1,0.0302,0.008,10.91,62.27,10.34,255.38,2,0.0444,0.0042,-18.46,163.84,7.78,252.82,1,0.0302,0.008,10.91,62.27,8.44,253.48,0,0.0092,0.026,3.33,88.49,7.78,252.82,1,0.0183,0.0178,10.93,62.2,8.19,253.22,0,0.015,0.0206,6.25,78.39,8.86,253.89,1,0.0371,0.0057,-1.4,104.85,6.11,251.14,1,0.0347,0.0155,30.07,-4.0,7.41,252.45,1,0.0256,0.0108,15.17,47.54,3.87,248.9,0,0.0,0.0063,55.72,-92.69,8.24,253.28,1,0.0236,0.0154,5.63,80.52,7.28,252.31,1,0.0274,0.0091,16.68,42.32,6.21,251.25,1,0.0344,0.0,28.92,0.0,1.4
CON3-1,Det,50,4,554.47,195.45,108.92,304.37,0,0.0,0.3559,86.16,281.61,3,0.287,0.103,20.9,40.43,94.03,289.48,3,0.3748,0.0634,13.67,61.03,85.39,280.84,3,0.29,0.0998,21.61,38.41,89.37,284.82,3,0.3245,0.0929,17.95,48.83,90.3,285.75,3,0.23,0.1506,17.1,51.26,86.09,281.54,3,0.2865,0.1029,20.96,40.25,89.19,284.64,3,0.343,0.0736,18.11,48.36,108.54,303.99,0,0.0089,0.3493,0.35,99.0,83.32,278.76,3,0.2873,0.0974,23.51,32.98,82.44,277.89,3,0.2666,0.1,24.31,30.69,83.25,278.7,3,0.2744,0.1044,23.57,32.81,83.05,278.5,3,0.2905,0.0944,23.75,32.29,70.71,266.16,3,0.3071,0.0488,35.08,0.0,1.4
CON3-1,SAA,50,5,616.97,236.7,6.8,243.5,0,0.0,0.0297,6.44,243.13,1,0.0257,0.0074,5.38,80.4,8.15,244.84,1,0.0367,0.0041,-19.78,172.01,6.44,243.13,1,0.0257,0.0074,5.38,80.4,6.69,243.39,0,0.0092,0.0223,1.61,94.15,6.09,242.79,0,0.0159,0.0148,10.48,61.84,6.39,243.09,0,0.0098,0.0202,6.07,77.91,6.68,243.38,1,0.0288,0.0059,1.75,93.62,3.86,240.55,2,0.0482,0.006,43.31,-57.7,5.84,242.54,1,0.0223,0.0091,14.11,48.62,2.89,239.59,0,0.0,0.004,57.46,-109.23,6.21,242.91,1,0.0171,0.0146,8.66,68.46,5.67,242.36,1,0.022,0.0086,16.7,39.18,4.93,241.63,1,0.0297,0.0,27.46,0.0,1.4
CON3-4,Det,50,4,599.73,199.97,132.08,332.06,0,0.0,0.3681,93.29,293.27,3,0.3251,0.0814,29.37,37.48,99.46,299.44,3,0.4541,0.0245,24.7,47.43,93.51,293.48,3,0.3466,0.0696,29.21,37.83,100.32,300.29,3,0.4045,0.0578,24.05,48.8,105.66,305.63,3,0.3335,0.1061,20.01,57.41,114.73,314.7,2,0.2179,0.179,13.14,72.03,95.73,295.7,3,0.4224,0.0344,27.53,41.4,131.21,331.18,1,0.0219,0.3532,0.66,98.59,92.31,292.29,3,0.3419,0.0715,30.11,35.9,92.28,292.25,3,0.3414,0.0712,30.14,35.84,92.93,292.9,3,0.3545,0.0669,29.64,36.9,91.49,291.46,3,0.3641,0.0579,30.73,34.58,70.04,270.01,3,0.3632,0.0049,46.98,0.0,1.4
CON3-4,SAA,50,5,650.56,240.06,6.8,246.86,0,0.0,0.0318,6.48,246.54,1,0.0222,0.0123,4.63,81.1,8.59,248.64,1,0.0395,0.0038,-26.31,207.46,6.56,246.61,1,0.0224,0.0123,3.55,85.48,6.35,246.41,0,0.0112,0.021,6.56,73.19,6.3,246.36,0,0.0152,0.0176,7.34,70.02,6.41,246.47,0,0.0107,0.0215,5.72,76.65,6.6,246.66,1,0.0304,0.0055,2.91,88.13,3.64,243.69,2,0.0395,0.0075,46.48,-89.87,6.09,246.14,1,0.028,0.007,10.48,57.18,2.79,242.85,0,0.0,0.0038,58.96,-140.82,6.71,246.76,1,0.0133,0.021,1.36,94.43,5.91,245.96,1,0.0246,0.0086,13.1,46.49,5.13,245.19,1,0.0318,0.0,24.48,0.0,1.4
CON3-5,Det,50,4,593.84,199.38,131.66,331.05,0,0.0,0.3611,104.44,303.83,3,0.2725,0.1385,20.68,43.44,106.1,305.49,3,0.3417,0.1023,19.42,46.88,103.94,303.32,3,0.2797,0.1324,21.06,42.39,113.95,313.34,3,0.2602,0.1715,13.45,63.2,111.79,311.17,3,0.2669,0.1589,15.1,58.7,124.06,323.44,1,0.0771,0.2929,5.78,84.19,105.72,305.1,3,0.3381,0.1035,19.71,46.09,130.06,329.45,1,0.0227,0.3451,1.21,96.68,102.7,302.09,3,0.2908,0.1231,22.0,39.82,102.59,301.97,3,0.289,0.1232,22.08,39.58,103.75,303.13,3,0.2829,0.1301,21.2,42.0,102.59,301.98,3,0.287,0.125,22.08,39.6,83.54,282.92,3,0.2861,0.075,36.55,0.0,1.4
CON3-5,SAA,50,5,630.37,238.04,6.6,244.64,0,0.0,0.0279,6.44,244.48,1,0.0284,0.0045,2.4,91.67,8.28,246.32,1,0.0387,0.002,-25.52,188.73,6.4,244.43,1,0.027,0.0055,3.05,89.41,6.35,244.39,1,0.0146,0.0156,3.77,86.91,5.73,243.77,0,0.012,0.0161,13.12,54.39,6.24,244.28,0,0.0097,0.0191,5.41,81.18,6.61,244.65,1,0.0312,0.0031,-0.15,100.52,4.0,242.03,2,0.0365,0.008,39.42,-37.04,5.49,243.53,1,0.0237,0.006,16.75,41.77,2.68,240.72,0,0.0,0.0033,59.36,-106.38,6.42,244.46,1,0.0196,0.0125,2.71,90.58,5.32,243.36,1,0.0207,0.0079,19.38,32.63,4.7,242.74,1,0.0279,0.0,28.76,0.0,1.5
