Instance,Plan,N_cust,K_routes,Travel_km,Fixed_cost,none_rec,none_TBC,none_S,none_HO,none_fail,v1_end_rec,v1_end_TBC,v1_end_S,v1_end_HO,v1_end_fail,v1_end_saving,v1_end_gap,v1_myo_rec,v1_myo_TBC,v1_myo_S,v1_myo_HO,v1_myo_fail,v1_myo_saving,v1_myo_gap,fb_tau_rec,fb_tau_TBC,fb_tau_S,fb_tau_HO,fb_tau_fail,fb_tau_saving,fb_tau_gap,pi1_rec,pi1_TBC,pi1_S,pi1_HO,pi1_fail,pi1_saving,pi1_gap,pi2_rec,pi2_TBC,pi2_S,pi2_HO,pi2_fail,pi2_saving,pi2_gap,pi3_rec,pi3_TBC,pi3_S,pi3_HO,pi3_fail,pi3_saving,pi3_gap,rollout_rec,rollout_TBC,rollout_S,rollout_HO,rollout_fail,rollout_saving,rollout_gap,restock_rec,restock_TBC,restock_S,restock_HO,restock_fail,restock_saving,restock_gap,v2_lsm_rec,v2_lsm_TBC,v2_lsm_S,v2_lsm_HO,v2_lsm_fail,v2_lsm_saving,v2_lsm_gap,v2_act_rec,v2_act_TBC,v2_act_S,v2_act_HO,v2_act_fail,v2_act_saving,v2_act_gap,dp_n_rec,dp_n_TBC,dp_n_S,dp_n_HO,dp_n_fail,dp_n_saving,dp_n_gap,dp_xl_rec,dp_xl_TBC,dp_xl_S,dp_xl_HO,dp_xl_fail,dp_xl_saving,dp_xl_gap,oracle_rec,oracle_TBC,oracle_S,oracle_HO,oracle_fail,oracle_saving,solve_s,eval_s
CON3-2,Det,50,4,523.46,192.35,121.43,313.78,0,0.0,0.3276,96.66,289.0,3,0.2333,0.1114,20.4,33.94,103.31,295.66,3,0.3174,0.0666,14.93,51.68,97.37,289.72,3,0.2206,0.1199,19.81,35.85,103.8,296.15,3,0.2292,0.1296,14.52,53.0,111.66,304.0,2,0.1381,0.2042,8.05,73.93,108.34,300.69,2,0.1495,0.1856,10.78,65.1,100.14,292.49,3,0.2955,0.0741,17.53,43.24,119.68,312.03,1,0.0173,0.3159,1.44,95.32,95.72,288.06,3,0.2438,0.1015,21.18,31.44,95.72,288.06,3,0.2438,0.1015,21.18,31.44,96.54,288.89,3,0.2375,0.1063,20.5,33.64,95.48,287.83,3,0.2455,0.0986,21.37,30.81,83.92,276.27,3,0.2774,0.0503,30.89,0.0,1.4
CON3-2,SAA,50,5,570.07,232.01,8.01,240.02,0,0.0,0.0262,8.48,240.49,1,0.0264,0.0056,-5.92,129.45,10.42,242.43,1,0.0352,0.0033,-30.09,249.76,8.46,240.47,1,0.0269,0.0051,-5.67,128.24,7.99,240.0,1,0.0147,0.0141,0.27,98.67,7.77,239.77,1,0.0163,0.0122,3.05,84.83,7.61,239.61,0,0.012,0.0152,5.03,74.98,8.35,240.36,1,0.0269,0.0049,-4.26,121.19,3.65,235.66,2,0.0515,0.0028,54.38,-170.7,7.8,239.81,1,0.0221,0.0076,2.6,87.08,2.99,235.0,0,0.0,0.0043,62.68,-212.0,8.45,240.46,1,0.0133,0.0169,-5.54,127.59,7.31,239.32,0,0.0191,0.0088,8.75,56.42,6.4,238.41,1,0.0262,0.0,20.09,0.0,1.4
CON3-1,Det,50,4,554.47,195.45,131.87,327.31,0,0.0,0.3596,108.89,304.33,3,0.2651,0.1186,17.43,40.46,119.57,315.02,3,0.3629,0.0706,9.33,68.14,108.68,304.13,3,0.2839,0.1038,17.58,39.92,115.34,310.79,3,0.3267,0.0935,12.53,57.18,115.1,310.55,3,0.2381,0.1507,12.72,56.55,110.46,305.91,3,0.2655,0.1205,16.23,44.54,113.32,308.77,3,0.3336,0.0783,14.06,51.95,130.3,325.75,1,0.029,0.3386,1.19,95.94,107.3,302.74,3,0.2823,0.102,18.63,36.34,107.3,302.74,3,0.2823,0.102,18.63,36.34,107.83,303.27,3,0.277,0.1072,18.23,37.71,106.38,301.83,3,0.277,0.1045,19.33,33.96,93.27,288.72,3,0.3085,0.0511,29.27,0.0,1.4
CON3-1,SAA,50,5,616.97,236.7,10.67,247.36,0,0.0,0.035,10.22,246.91,1,0.0282,0.0102,4.21,79.93,11.56,248.26,2,0.0405,0.0033,-8.41,140.09,10.27,246.97,1,0.0323,0.0071,3.73,82.21,10.59,247.29,0,0.0115,0.0253,0.67,96.81,10.0,246.7,0,0.0163,0.0197,6.21,70.38,10.26,246.96,0,0.0118,0.0239,3.82,81.79,10.33,247.03,1,0.033,0.0066,3.13,85.06,4.67,241.37,3,0.0688,0.0038,56.22,-168.13,9.71,246.41,1,0.0276,0.0097,8.97,57.24,3.69,240.39,0,0.0,0.0041,65.38,-211.79,10.33,247.03,1,0.0131,0.0236,3.15,84.97,9.29,245.99,1,0.0265,0.0095,12.87,38.62,8.43,245.13,1,0.035,0.0,20.97,0.0,1.4
CON3-0,Det,50,4,617.59,201.76,105.93,307.69,0,0.0,0.2661,98.91,300.67,2,0.1452,0.1343,6.62,59.58,111.21,312.97,2,0.2243,0.0985,-4.99,130.45,98.83,300.59,2,0.1391,0.1395,6.7,59.1,102.16,303.92,1,0.094,0.1861,3.56,78.28,99.96,301.72,2,0.1197,0.1611,5.63,65.64,98.47,300.23,1,0.1116,0.1603,7.04,57.05,99.61,301.37,2,0.1829,0.1066,5.97,63.58,95.1,296.86,1,0.0882,0.2039,10.22,37.64,96.14,297.9,2,0.1426,0.1336,9.24,43.59,85.93,287.69,1,0.0372,0.1399,18.87,-15.21,95.51,297.27,2,0.1492,0.1285,9.83,40.0,95.03,296.79,2,0.1455,0.1295,10.29,37.21,88.57,290.33,2,0.175,0.0911,16.38,0.0,1.5
CON3-0,SAA,50,5,700.38,245.04,14.02,259.05,0,0.0,0.0428,13.42,258.46,1,0.0381,0.0098,4.23,80.83,15.33,260.37,2,0.0487,0.0056,-9.37,142.44,13.42,258.46,1,0.0381,0.0098,4.23,80.83,13.71,258.75,0,0.0134,0.0307,2.19,90.06,12.87,257.91,1,0.0222,0.0224,8.15,63.06,13.42,258.46,1,0.019,0.0252,4.22,80.88,13.58,258.62,1,0.0393,0.0092,3.08,86.05,7.08,252.12,3,0.0793,0.0067,49.46,-124.06,12.41,257.45,1,0.0332,0.0119,11.44,48.18,4.89,249.93,0,0.0,0.0054,65.09,-194.9,13.06,258.1,1,0.0237,0.0216,6.79,69.26,12.16,257.2,1,0.0296,0.0141,13.23,40.06,10.92,255.96,2,0.0428,0.0,22.07,0.0,1.8
CON3-4,Det,50,4,599.73,199.97,160.23,360.2,0,0.0,0.3829,121.06,321.03,3,0.3667,0.0685,24.45,39.28,127.17,327.14,3,0.437,0.0348,20.63,48.75,120.93,320.9,3,0.3808,0.0583,24.53,39.08,129.14,329.12,3,0.3925,0.0684,19.4,51.81,138.73,338.71,3,0.383,0.0939,13.42,66.68,143.14,343.12,2,0.2139,0.1931,10.66,73.52,123.94,323.92,3,0.4163,0.042,22.65,43.75,157.94,357.91,1,0.0211,0.3672,1.43,96.45,119.29,319.26,3,0.3685,0.0633,25.55,36.54,119.01,318.98,3,0.359,0.0655,25.73,36.1,120.2,320.18,3,0.355,0.0749,24.98,37.95,118.63,318.6,3,0.3489,0.0747,25.96,35.51,95.72,295.69,3,0.3775,0.0054,40.26,0.0,1.4
CON3-4,SAA,50,5,650.56,240.06,8.72,248.78,0,0.0,0.0305,8.75,248.8,1,0.0204,0.0128,-0.33,101.88,11.29,251.35,1,0.0354,0.005,-29.47,265.7,8.75,248.8,1,0.0204,0.0128,-0.33,101.88,8.43,248.49,0,0.0133,0.0184,3.32,81.35,8.32,248.38,0,0.0097,0.021,4.57,74.32,8.41,248.46,0,0.0082,0.0225,3.58,79.9,8.73,248.79,1,0.0256,0.008,-0.16,100.89,3.7,243.76,2,0.046,0.0046,57.55,-223.59,8.06,248.11,0,0.0203,0.0114,7.6,57.27,3.1,243.16,0,0.0,0.0043,64.4,-262.1,8.76,248.82,0,0.0052,0.0263,-0.47,102.65,7.93,247.99,0,0.0206,0.0108,9.06,49.07,7.17,247.22,1,0.0305,0.0,17.78,0.0,1.4
CON3-3,Det,50,4,607.67,200.77,129.16,329.93,0,0.0,0.358,97.26,298.03,3,0.305,0.0695,24.7,31.19,115.35,316.12,3,0.4301,0.0138,10.69,70.22,96.92,297.68,3,0.317,0.0592,24.96,30.45,105.95,306.72,3,0.3199,0.0823,17.97,49.93,106.31,307.08,3,0.2601,0.1286,17.69,50.72,100.45,301.22,3,0.2943,0.0835,22.23,38.07,105.48,306.25,3,0.3854,0.025,18.33,48.93,123.79,324.56,1,0.0556,0.3184,4.16,88.42,95.04,295.81,3,0.325,0.052,26.41,26.4,94.25,295.01,3,0.313,0.0544,27.03,24.69,95.74,296.51,3,0.3254,0.0537,25.87,27.91,94.49,295.25,3,0.3163,0.0572,26.84,25.2,82.8,283.57,3,0.3553,0.0027,35.89,0.0,1.6
CON3-3,SAA,50,5,713.82,246.38,14.6,260.98,0,0.0,0.0508,14.26,260.64,1,0.0359,0.0182,2.38,86.93,17.19,263.57,2,0.0543,0.009,-17.73,197.42,14.26,260.64,1,0.0359,0.0182,2.38,86.93,14.08,260.46,1,0.0203,0.0319,3.59,80.27,13.68,260.06,1,0.0283,0.0244,6.31,65.32,13.45,259.83,1,0.0345,0.0181,7.87,56.74,14.28,260.66,1,0.0418,0.0131,2.22,87.82,5.65,252.03,3,0.0803,0.0067,61.31,-236.88,13.28,259.66,1,0.0357,0.0169,9.04,50.31,4.88,251.26,0,0.0,0.0075,66.57,-265.79,14.07,260.45,1,0.0342,0.0205,3.63,80.06,13.16,259.54,1,0.0357,0.0166,9.9,45.61,11.94,258.33,2,0.0508,0.0,18.2,0.0,1.7
