Instance,Plan,N_cust,K_routes,Travel_km,Fixed_cost,none_rec,none_TBC,none_S,none_HO,none_fail,v1_end_rec,v1_end_TBC,v1_end_S,v1_end_HO,v1_end_fail,v1_end_saving,v1_end_gap,v1_myo_rec,v1_myo_TBC,v1_myo_S,v1_myo_HO,v1_myo_fail,v1_myo_saving,v1_myo_gap,fb_tau_rec,fb_tau_TBC,fb_tau_S,fb_tau_HO,fb_tau_fail,fb_tau_saving,fb_tau_gap,pi1_rec,pi1_TBC,pi1_S,pi1_HO,pi1_fail,pi1_saving,pi1_gap,pi2_rec,pi2_TBC,pi2_S,pi2_HO,pi2_fail,pi2_saving,pi2_gap,pi3_rec,pi3_TBC,pi3_S,pi3_HO,pi3_fail,pi3_saving,pi3_gap,rollout_rec,rollout_TBC,rollout_S,rollout_HO,rollout_fail,rollout_saving,rollout_gap,restock_rec,restock_TBC,restock_S,restock_HO,restock_fail,restock_saving,restock_gap,v2_lsm_rec,v2_lsm_TBC,v2_lsm_S,v2_lsm_HO,v2_lsm_fail,v2_lsm_saving,v2_lsm_gap,v2_act_rec,v2_act_TBC,v2_act_S,v2_act_HO,v2_act_fail,v2_act_saving,v2_act_gap,dp_n_rec,dp_n_TBC,dp_n_S,dp_n_HO,dp_n_fail,dp_n_saving,dp_n_gap,dp_xl_rec,dp_xl_TBC,dp_xl_S,dp_xl_HO,dp_xl_fail,dp_xl_saving,dp_xl_gap,oracle_rec,oracle_TBC,oracle_S,oracle_HO,oracle_fail,oracle_saving,solve_s,eval_s
CON3-0,Det,50,4,617.59,201.76,94.32,296.08,0,0.0,0.262,80.6,282.36,2,0.1484,0.129,14.54,42.07,95.51,297.27,2,0.2453,0.0927,-1.26,105.03,80.59,282.35,2,0.1474,0.127,14.56,42.0,82.6,284.36,2,0.1564,0.1321,12.43,50.51,82.0,283.76,2,0.1623,0.1295,13.06,47.97,82.01,283.76,1,0.1239,0.1456,13.06,48.0,85.12,286.88,2,0.2041,0.096,9.75,61.17,82.28,284.04,1,0.0915,0.1982,12.77,49.15,77.65,279.41,2,0.168,0.1115,17.67,29.61,69.89,271.65,1,0.0469,0.1208,25.9,-3.18,78.6,280.36,2,0.1772,0.1094,16.66,33.63,76.86,278.62,2,0.1595,0.1133,18.51,26.27,70.64,272.4,2,0.1731,0.0889,25.11,0.0,1.4
CON3-0,SAA,50,5,700.38,245.04,12.14,257.18,0,0.0,0.0378,9.65,254.69,1,0.0324,0.0103,20.56,52.59,11.86,256.9,2,0.0527,0.0038,2.31,94.68,9.65,254.69,1,0.0324,0.0103,20.56,52.59,11.28,256.32,1,0.0225,0.0218,7.12,83.6,9.59,254.63,1,0.0209,0.0183,21.02,51.55,10.25,255.28,0,0.0189,0.0204,15.63,63.98,11.27,256.31,2,0.0488,0.0046,7.2,83.39,5.98,251.02,3,0.0807,0.0072,50.72,-16.93,9.1,254.14,1,0.0307,0.0103,25.05,42.26,4.1,249.13,0,0.0,0.0048,66.27,-52.77,10.34,255.37,1,0.0322,0.0133,14.89,65.67,8.66,253.7,1,0.033,0.0079,28.72,33.8,6.88,251.91,1,0.0378,0.0,43.38,0.0,1.5
CON3-2,Det,50,4,523.46,192.35,104.31,296.66,0,0.0,0.3184,77.62,269.96,3,0.2505,0.1,25.59,36.27,87.52,279.87,3,0.3586,0.0626,16.09,59.92,76.96,269.31,3,0.2439,0.1018,26.22,34.71,81.32,273.66,3,0.2625,0.1058,22.05,45.1,88.82,281.17,2,0.1758,0.1691,14.85,63.02,85.39,277.73,2,0.1825,0.1521,18.14,54.81,82.51,274.85,3,0.3253,0.0676,20.9,47.94,99.94,292.29,1,0.0432,0.2943,4.19,89.56,75.42,267.76,3,0.2591,0.0881,27.7,31.02,75.42,267.76,3,0.2591,0.0881,27.7,31.02,75.9,268.25,3,0.2658,0.0855,27.24,32.17,75.11,267.45,3,0.2655,0.084,28.0,30.27,62.43,254.77,3,0.267,0.0514,40.15,0.0,1.4
CON3-2,SAA,50,5,570.07,232.01,7.47,239.48,0,0.0,0.025,6.0,238.01,1,0.0249,0.0047,19.71,54.23,7.64,239.65,1,0.0374,0.0012,-2.21,105.14,6.0,238.01,1,0.0249,0.0047,19.71,54.23,6.33,238.34,0,0.0146,0.0127,15.27,64.55,5.64,237.64,1,0.0185,0.0083,24.58,42.92,5.94,237.95,1,0.0157,0.0108,20.51,52.38,6.68,238.68,1,0.0325,0.0017,10.69,75.17,2.59,234.6,2,0.0467,0.0023,65.32,-51.67,5.3,237.31,1,0.0228,0.0046,29.11,32.41,2.62,234.63,0,0.0,0.0043,64.98,-50.88,6.01,238.02,1,0.0233,0.0068,19.53,54.65,5.16,237.17,1,0.0225,0.0043,30.91,28.23,4.26,236.26,1,0.025,0.0,43.07,0.0,1.4
CON3-1,Det,50,4,554.47,195.45,116.97,312.42,0,0.0,0.3565,86.09,281.53,3,0.2886,0.1001,26.4,33.32,98.29,293.73,3,0.403,0.0571,15.97,59.66,85.27,280.71,3,0.304,0.0864,27.1,31.55,90.25,285.7,3,0.3473,0.0811,22.85,42.3,90.84,286.29,3,0.2437,0.1382,22.34,43.59,86.07,281.52,3,0.2841,0.1003,26.42,33.28,91.65,287.09,3,0.3745,0.0593,21.65,45.33,111.57,307.02,1,0.0594,0.3167,4.61,88.35,82.7,278.15,3,0.3016,0.0834,29.3,26.01,82.69,278.14,3,0.3017,0.0833,29.31,25.98,82.84,278.29,3,0.302,0.0829,29.18,26.32,82.36,277.81,3,0.3044,0.0805,29.59,25.27,70.66,266.1,3,0.3073,0.0492,39.6,0.0,1.5
CON3-1,SAA,50,5,616.97,236.7,8.94,245.63,0,0.0,0.0303,7.41,244.11,1,0.0304,0.0057,17.03,61.11,9.7,246.4,2,0.0477,0.0015,-8.58,119.59,7.4,244.1,1,0.0304,0.0057,17.16,60.82,8.27,244.97,1,0.0187,0.0175,7.47,82.95,7.34,244.04,1,0.0239,0.0114,17.83,59.29,7.6,244.3,0,0.0151,0.0167,14.96,65.83,7.92,244.62,1,0.0381,0.0026,11.4,73.97,3.19,239.89,3,0.0611,0.0027,64.27,-46.74,6.32,243.02,1,0.0262,0.0065,29.3,33.1,2.42,239.12,0,0.0,0.0023,72.87,-66.39,7.4,244.1,1,0.0356,0.0035,17.22,60.68,6.16,242.86,1,0.0276,0.0052,31.04,29.12,5.02,241.72,1,0.0303,0.0,43.8,0.0,1.7
CON3-4,Det,50,4,599.73,199.97,140.97,340.94,0,0.0,0.3739,95.18,295.16,3,0.3474,0.0728,32.48,33.72,103.63,303.6,3,0.4865,0.0179,26.49,45.94,95.32,295.29,3,0.3456,0.0735,32.38,33.92,101.35,301.32,3,0.4147,0.0528,28.11,42.64,109.01,308.98,3,0.3494,0.1043,22.67,53.73,116.26,316.24,2,0.2521,0.161,17.53,64.23,99.33,299.3,3,0.45,0.0271,29.54,39.71,137.62,337.59,1,0.04,0.3515,2.38,95.15,92.85,292.82,3,0.3776,0.0506,34.13,30.34,93.09,293.06,3,0.3592,0.0559,33.96,30.69,94.95,294.92,3,0.3698,0.0592,32.65,33.37,93.17,293.15,3,0.381,0.0493,33.91,30.81,71.89,271.87,3,0.3676,0.0063,49.0,0.0,1.4
CON3-4,SAA,50,5,650.56,240.06,10.14,250.2,0,0.0,0.0356,8.0,248.06,1,0.0324,0.0069,21.09,51.07,10.88,250.94,2,0.0501,0.0028,-7.33,117.0,7.98,248.04,1,0.033,0.0064,21.31,50.56,8.59,248.64,1,0.0203,0.0184,15.33,64.43,8.43,248.48,1,0.0195,0.0183,16.88,60.83,8.92,248.98,0,0.0127,0.0239,12.03,72.08,9.08,249.14,1,0.0415,0.0044,10.41,75.83,3.66,243.71,3,0.0591,0.0044,63.92,-48.33,7.28,247.34,1,0.0307,0.0079,28.19,34.58,2.72,242.78,0,0.0,0.0035,73.15,-69.74,8.7,248.76,1,0.0311,0.0124,14.17,67.12,7.33,247.39,1,0.0333,0.0062,27.69,35.74,5.77,245.83,1,0.0356,0.0,43.09,0.0,1.4
CON3-3,Det,50,4,607.67,200.77,117.92,318.68,0,0.0,0.3614,77.55,278.32,3,0.3314,0.0539,34.23,28.07,97.88,298.65,3,0.4771,0.0069,16.99,64.3,76.43,277.2,3,0.3277,0.0529,35.18,26.08,82.74,283.51,3,0.3746,0.0495,29.83,37.32,87.84,288.61,3,0.2777,0.1219,25.51,46.41,78.88,279.65,3,0.3541,0.0457,33.1,30.45,86.71,287.48,3,0.4265,0.0109,26.46,44.4,108.47,309.24,2,0.096,0.3026,8.01,83.17,73.89,274.66,3,0.3473,0.0396,37.34,21.55,73.89,274.66,3,0.3473,0.0396,37.34,21.55,74.14,274.91,3,0.355,0.0353,37.13,22.0,73.39,274.16,3,0.3558,0.0329,37.76,20.66,61.8,262.56,3,0.3589,0.0025,47.59,0.0,1.4
CON3-3,SAA,50,5,713.82,246.38,17.52,263.9,0,0.0,0.0617,14.15,260.53,3,0.0604,0.0101,19.22,55.76,18.71,265.09,4,0.0887,0.0042,-6.81,115.69,14.15,260.53,3,0.0604,0.0101,19.22,55.76,14.34,260.72,2,0.0379,0.0282,18.14,58.24,13.2,259.58,2,0.0476,0.0194,24.64,43.28,12.74,259.12,2,0.0513,0.0144,27.26,37.23,15.61,261.99,3,0.074,0.0057,10.89,74.92,5.69,252.08,4,0.0942,0.0075,67.49,-55.37,12.38,258.76,2,0.0555,0.0116,29.31,32.53,4.75,251.13,0,0.0,0.0062,72.9,-67.83,13.47,259.85,3,0.0603,0.0128,23.11,46.79,12.0,258.38,2,0.0536,0.0114,31.51,27.46,9.91,256.29,3,0.0617,0.0,43.44,0.0,1.5
