Instance,Plan,N_cust,K_routes,Travel_km,Fixed_cost,none_rec,none_TBC,none_S,none_HO,none_fail,v1_end_rec,v1_end_TBC,v1_end_S,v1_end_HO,v1_end_fail,v1_end_saving,v1_end_gap,v1_myo_rec,v1_myo_TBC,v1_myo_S,v1_myo_HO,v1_myo_fail,v1_myo_saving,v1_myo_gap,fb_tau_rec,fb_tau_TBC,fb_tau_S,fb_tau_HO,fb_tau_fail,fb_tau_saving,fb_tau_gap,pi1_rec,pi1_TBC,pi1_S,pi1_HO,pi1_fail,pi1_saving,pi1_gap,pi2_rec,pi2_TBC,pi2_S,pi2_HO,pi2_fail,pi2_saving,pi2_gap,pi3_rec,pi3_TBC,pi3_S,pi3_HO,pi3_fail,pi3_saving,pi3_gap,rollout_rec,rollout_TBC,rollout_S,rollout_HO,rollout_fail,rollout_saving,rollout_gap,restock_rec,restock_TBC,restock_S,restock_HO,restock_fail,restock_saving,restock_gap,v2_lsm_rec,v2_lsm_TBC,v2_lsm_S,v2_lsm_HO,v2_lsm_fail,v2_lsm_saving,v2_lsm_gap,v2_act_rec,v2_act_TBC,v2_act_S,v2_act_HO,v2_act_fail,v2_act_saving,v2_act_gap,dp_n_rec,dp_n_TBC,dp_n_S,dp_n_HO,dp_n_fail,dp_n_saving,dp_n_gap,dp_xl_rec,dp_xl_TBC,dp_xl_S,dp_xl_HO,dp_xl_fail,dp_xl_saving,dp_xl_gap,oracle_rec,oracle_TBC,oracle_S,oracle_HO,oracle_fail,oracle_saving,solve_s,eval_s
CON3-1,Det,50,4,554.47,195.45,156.93,352.37,0,0.0,0.3619,100.9,296.35,3,0.3191,0.0887,35.7,25.89,115.29,310.74,3,0.437,0.0583,26.53,44.92,99.74,295.18,3,0.3296,0.0809,36.44,24.35,104.07,299.51,3,0.3482,0.0819,33.68,30.07,112.38,307.83,3,0.2825,0.1268,28.39,41.07,103.64,299.08,3,0.3226,0.0884,33.96,29.5,109.53,304.97,3,0.4079,0.0605,30.2,37.3,154.27,349.71,1,0.0541,0.3277,1.7,96.48,96.89,292.34,3,0.3249,0.0775,38.26,20.58,95.55,291.0,3,0.2995,0.0788,39.11,18.81,97.49,292.94,3,0.3372,0.0723,37.87,21.38,96.51,291.95,3,0.3267,0.0746,38.5,20.07,81.33,276.78,3,0.3108,0.0511,48.17,0.0,1.4
CON3-1,SAA,50,5,616.97,236.7,9.23,245.93,0,0.0,0.0286,7.49,244.19,1,0.0279,0.0072,18.86,61.59,12.92,249.62,2,0.0605,0.0019,-40.01,181.49,7.49,244.19,1,0.0279,0.0072,18.86,61.59,8.53,245.23,1,0.0238,0.0143,7.61,84.5,7.13,243.83,1,0.019,0.0122,22.73,53.72,8.19,244.89,0,0.0095,0.0199,11.26,77.07,8.98,245.68,2,0.0427,0.0025,2.73,94.44,4.24,240.93,3,0.0649,0.0032,54.12,-10.21,6.89,243.59,1,0.0274,0.0069,25.32,48.43,3.1,239.79,0,0.0,0.0031,66.47,-35.36,7.38,244.07,1,0.0192,0.0126,20.09,59.1,6.16,242.86,1,0.0278,0.0047,33.27,32.25,4.7,241.4,1,0.0286,0.0,49.1,0.0,1.4
CON3-0,Det,50,4,617.59,201.76,127.74,329.5,0,0.0,0.2585,104.62,306.38,2,0.1482,0.1285,18.1,32.83,124.53,326.28,2,0.2644,0.0979,2.52,90.66,104.21,305.96,2,0.1611,0.1175,18.42,31.62,107.17,308.93,2,0.1895,0.1146,16.1,40.25,107.86,309.62,2,0.1712,0.1285,15.56,42.24,108.04,309.8,1,0.1246,0.1429,15.42,42.76,111.15,312.91,2,0.2109,0.1015,12.98,51.81,114.61,316.37,1,0.083,0.1994,10.28,61.85,101.04,302.8,2,0.1593,0.1145,20.91,22.42,96.52,298.28,1,0.0449,0.123,24.44,9.31,101.88,303.64,2,0.1675,0.1131,20.24,24.87,100.71,302.47,2,0.1636,0.1112,21.16,21.46,93.32,295.08,2,0.1616,0.0969,26.95,0.0,1.4
CON3-0,SAA,50,5,700.38,245.04,10.15,255.19,0,0.0,0.0278,7.22,252.26,1,0.0264,0.0059,28.83,42.82,12.33,257.37,2,0.0545,0.0012,-21.44,142.51,7.24,252.28,1,0.0263,0.006,28.66,43.16,9.11,254.15,1,0.0203,0.0141,10.29,79.6,7.44,252.47,1,0.0201,0.0106,26.76,46.94,8.56,253.6,0,0.0151,0.0147,15.67,68.93,9.31,254.34,1,0.0414,0.002,8.32,83.49,5.2,250.24,2,0.0596,0.0046,48.81,3.22,6.76,251.79,1,0.0264,0.0051,33.46,33.65,3.01,248.05,0,0.0,0.0021,70.38,-39.56,7.73,252.76,1,0.028,0.0065,23.89,52.62,6.44,251.48,1,0.0268,0.004,36.58,27.46,5.03,250.07,1,0.0278,0.0,50.43,0.0,1.4
CON3-2,Det,50,4,523.46,192.35,136.85,329.19,0,0.0,0.3157,87.31,279.65,3,0.2701,0.0881,36.2,27.21,106.31,298.65,3,0.4295,0.0557,22.32,55.12,85.76,278.1,3,0.2656,0.0865,37.33,24.93,94.21,286.55,3,0.2791,0.1004,31.16,37.34,112.21,304.55,2,0.1889,0.1654,18.01,63.79,107.83,300.18,2,0.1729,0.1615,21.2,57.37,97.98,290.33,3,0.3799,0.0592,28.4,42.89,133.72,326.07,1,0.0324,0.2976,2.28,95.41,85.43,277.77,3,0.2844,0.0757,37.58,24.44,85.34,277.69,3,0.2841,0.0754,37.64,24.31,85.7,278.04,3,0.2878,0.0747,37.38,24.84,84.92,277.26,3,0.2766,0.0785,37.95,23.69,68.79,261.14,3,0.2627,0.053,49.73,0.0,1.4
CON3-2,SAA,50,5,570.07,232.01,9.29,241.3,0,0.0,0.0275,6.25,238.26,1,0.0294,0.0026,32.74,33.54,8.25,240.26,2,0.0417,0.0009,11.24,77.17,6.25,238.26,1,0.0294,0.0026,32.74,33.54,7.58,239.59,1,0.0218,0.0111,18.4,62.65,6.65,238.66,1,0.0234,0.0077,28.45,42.23,6.8,238.81,1,0.0171,0.0117,26.8,45.58,7.55,239.56,1,0.0382,0.0012,18.77,61.89,3.69,235.7,2,0.0452,0.0033,60.25,-22.32,5.94,237.95,1,0.0258,0.0046,36.05,26.82,2.87,234.87,0,0.0,0.0025,69.15,-40.4,7.31,239.32,1,0.0314,0.0055,21.32,56.71,5.74,237.75,1,0.0279,0.0027,38.19,22.47,4.72,236.72,1,0.0275,0.0,49.26,0.0,1.4
CON3-4,Det,50,4,599.73,199.97,186.95,386.92,0,0.0,0.3655,101.94,301.91,3,0.4138,0.0375,45.47,26.68,109.0,308.98,3,0.5136,0.0124,41.69,32.78,99.6,299.58,3,0.4264,0.0307,46.72,24.67,105.92,305.89,3,0.4405,0.0367,43.34,30.12,119.49,319.47,3,0.4471,0.0566,36.08,41.82,144.82,344.79,2,0.2797,0.142,22.53,63.67,106.83,306.81,3,0.4972,0.0149,42.85,30.91,183.13,383.1,1,0.0425,0.3402,2.04,96.71,98.09,298.06,3,0.4236,0.0292,47.53,23.36,98.06,298.03,3,0.4239,0.0291,47.55,23.34,99.67,299.64,3,0.4211,0.0336,46.69,24.73,98.04,298.01,3,0.4116,0.0335,47.56,23.32,71.0,270.97,3,0.359,0.0065,62.02,0.0,1.4
CON3-4,SAA,50,5,650.56,240.06,9.22,249.27,0,0.0,0.0304,7.37,247.42,1,0.0279,0.0071,20.06,57.33,10.63,250.68,2,0.0494,0.0019,-15.31,132.57,7.35,247.4,1,0.0282,0.0069,20.28,56.86,7.65,247.71,1,0.017,0.016,16.94,63.97,7.58,247.63,1,0.0176,0.0155,17.79,62.17,7.96,248.02,0,0.0117,0.0198,13.63,71.02,8.32,248.38,1,0.0381,0.0037,9.71,79.34,3.85,243.91,2,0.0481,0.0045,58.22,-23.82,6.5,246.56,1,0.0276,0.0065,29.46,37.34,2.92,242.97,0,0.0,0.0031,68.35,-45.36,7.76,247.82,1,0.0272,0.0106,15.75,66.5,6.33,246.39,1,0.0292,0.0051,31.27,33.5,4.88,244.94,1,0.0304,0.0,47.02,0.0,1.4
CON3-5,Det,50,4,593.84,199.38,187.33,386.72,0,0.0,0.3641,127.5,326.89,3,0.3337,0.117,31.94,33.55,132.81,332.19,3,0.425,0.0906,29.11,39.44,127.96,327.34,3,0.325,0.1202,31.7,34.05,137.5,336.88,3,0.398,0.1116,26.6,44.65,135.73,335.11,3,0.3549,0.1256,27.55,42.69,170.64,370.02,1,0.0897,0.291,8.91,81.46,132.32,331.7,3,0.4254,0.09,29.37,38.9,181.31,380.69,1,0.0479,0.3329,3.22,93.31,125.91,325.3,3,0.3633,0.1026,32.79,31.78,124.61,323.99,3,0.3443,0.106,33.48,30.34,126.93,326.32,3,0.348,0.11,32.24,32.92,125.46,324.84,3,0.3372,0.1116,33.03,31.28,97.29,296.68,3,0.285,0.0791,48.06,0.0,1.4
CON3-5,SAA,50,5,630.37,238.04,7.61,245.65,0,0.0,0.0229,5.72,243.76,1,0.0245,0.0035,24.78,50.2,9.45,247.49,2,0.0434,0.001,-24.2,148.63,5.72,243.76,1,0.0245,0.0035,24.78,50.2,6.25,244.28,1,0.0186,0.0091,17.93,63.98,6.01,244.05,0,0.0133,0.0115,21.04,57.73,6.3,244.34,0,0.0134,0.0117,17.24,65.35,6.92,244.96,1,0.0318,0.0019,9.04,81.84,3.44,241.48,2,0.0383,0.004,54.82,-10.16,5.13,243.17,1,0.0225,0.004,32.52,34.65,2.17,240.21,0,0.0,0.0018,71.47,-43.61,6.17,244.21,1,0.0185,0.0086,18.9,62.03,4.94,242.98,1,0.0233,0.003,35.1,29.47,3.82,241.86,1,0.0229,0.0,49.77,0.0,1.5
