Instance,day,alpha,surge,cost,fired
CON3-0,0,0.5,False,63.94293,True
CON3-0,0,0.5,True,273.2835,True
CON3-0,0,0.2,False,61.7591,False
CON3-0,0,0.2,True,273.2835,True
CON3-0,0,0.1,False,61.7591,False
CON3-0,0,0.1,True,269.25916000000007,True
CON3-0,0,0.05,False,61.7591,False
CON3-0,0,0.05,True,277.11658000000006,True
CON3-0,0,0.02,False,61.7591,False
CON3-0,0,0.02,True,269.26997,True
CON3-0,0,0.005,False,61.7591,False
CON3-0,0,0.005,True,269.26997,True
CON3-0,0,0.001,False,61.7591,False
CON3-0,0,0.001,True,234.06961,True
CON3-0,0,0.0001,False,61.7591,False
CON3-0,0,0.0001,True,194.06960999999998,True
CON3-0,1,0.5,False,101.75910000000003,False
CON3-0,1,0.5,True,160.83839000000003,True
CON3-0,1,0.2,False,101.75910000000003,False
CON3-0,1,0.2,True,231.42573,True
CON3-0,1,0.1,False,101.75910000000003,False
CON3-0,1,0.1,True,231.42573,True
CON3-0,1,0.05,False,101.75910000000003,False
CON3-0,1,0.05,True,195.25118,True
CON3-0,1,0.02,False,101.75910000000003,False
CON3-0,1,0.02,True,195.25118,True
CON3-0,1,0.005,False,101.75910000000003,False
CON3-0,1,0.005,True,154.71301,True
CON3-0,1,0.001,False,101.75910000000003,False
CON3-0,1,0.001,True,156.21976,True
CON3-0,1,0.0001,False,101.75910000000003,False
CON3-0,1,0.0001,True,112.32931000000002,True
CON3-0,2,0.5,False,101.75910000000003,False
CON3-0,2,0.5,True,267.95545000000016,True
CON3-0,2,0.2,False,101.75910000000003,False
CON3-0,2,0.2,True,267.95545000000016,True
CON3-0,2,0.1,False,101.75910000000003,False
CON3-0,2,0.1,True,226.63275000000002,True
CON3-0,2,0.05,False,101.75910000000003,False
CON3-0,2,0.05,True,226.63275000000002,True
CON3-0,2,0.02,False,101.75910000000003,False
CON3-0,2,0.02,True,201.69495999999998,True
CON3-0,2,0.005,False,101.75910000000003,False
CON3-0,2,0.005,True,201.69495999999998,True
CON3-0,2,0.001,False,101.75910000000003,False
CON3-0,2,0.001,True,201.69495999999998,True
CON3-0,2,0.0001,False,101.75910000000003,False
CON3-0,2,0.0001,True,278.14292,True
CON3-0,3,0.5,False,101.7591,False
CON3-0,3,0.5,True,227.81399000000002,True
CON3-0,3,0.2,False,101.7591,False
CON3-0,3,0.2,True,227.81399000000002,True
CON3-0,3,0.1,False,101.7591,False
CON3-0,3,0.1,True,227.81399000000002,True
CON3-0,3,0.05,False,101.7591,False
CON3-0,3,0.05,True,265.22267000000005,True
CON3-0,3,0.02,False,101.7591,False
CON3-0,3,0.02,True,309.00308,True
CON3-0,3,0.005,False,101.7591,False
CON3-0,3,0.005,True,288.5476200000002,True
CON3-0,3,0.001,False,101.7591,False
CON3-0,3,0.001,True,427.3513,True
CON3-0,3,0.0001,False,101.7591,False
CON3-0,3,0.0001,True,193.75996,True
CON3-0,4,0.5,False,101.75910000000003,False
CON3-0,4,0.5,True,271.12228000000005,True
CON3-0,4,0.2,False,101.75910000000003,False
CON3-0,4,0.2,True,269.69591,True
CON3-0,4,0.1,False,101.75910000000003,False
CON3-0,4,0.1,True,316.48834,True
CON3-0,4,0.05,False,101.75910000000003,False
CON3-0,4,0.05,True,311.37606999999997,True
CON3-0,4,0.02,False,101.75910000000003,False
CON3-0,4,0.02,True,311.37606999999997,True
