Instance,scenario,monitor,n_days,false_rate,detect_rate,mean_delay
CON3-0,none,tempo2,25,0.0,,
CON3-0,none,tempo1,25,0.0,,
CON3-0,none,tempo_flat,25,0.0,,
CON3-0,none,cusum_cal,25,0.04,,
CON3-0,none,cusum_match,25,0.04,,
CON3-0,none,ph_cal,25,0.04,,
CON3-0,none,ph_match,25,0.04,,
CON3-0,none,bonferroni,25,0.04,,
CON3-0,none,periodic,25,1.0,,
CON3-0,traffic,tempo2,25,0.0,1.0,23.12
CON3-0,traffic,tempo1,25,0.0,0.52,36.07692307692308
CON3-0,traffic,tempo_flat,25,0.0,0.56,29.428571428571427
CON3-0,traffic,cusum_cal,25,0.0,1.0,26.8
CON3-0,traffic,cusum_match,25,0.0,0.96,56.041666666666664
CON3-0,traffic,ph_cal,25,0.0,0.76,37.421052631578945
CON3-0,traffic,ph_match,25,0.0,0.08,61.0
CON3-0,traffic,bonferroni,25,0.0,1.0,25.2
CON3-0,traffic,periodic,25,0.0,1.0,34.0
CON3-0,demand,tempo2,25,0.0,0.8,48.2
CON3-0,demand,tempo1,25,0.0,0.08,49.0
CON3-0,demand,tempo_flat,25,0.0,0.16,39.5
CON3-0,demand,cusum_cal,25,0.0,0.8,50.45
CON3-0,demand,cusum_match,25,0.0,0.08,49.0
CON3-0,demand,ph_cal,25,0.0,0.4,42.2
CON3-0,demand,ph_match,25,0.0,0.08,49.0
CON3-0,demand,bonferroni,25,0.0,0.84,44.333333333333336
CON3-0,demand,periodic,25,0.0,1.0,31.0
CON3-0,accident,tempo2,25,0.0,0.2,45.2
CON3-0,accident,tempo1,25,0.0,0.28,35.0
CON3-0,accident,tempo_flat,25,0.0,0.12,18.0
CON3-0,accident,cusum_cal,25,0.0,0.8,37.8
CON3-0,accident,cusum_match,25,0.0,0.28,56.57142857142857
CON3-0,accident,ph_cal,25,0.0,0.48,33.0
CON3-0,accident,ph_match,25,0.0,0.08,40.0
CON3-0,accident,bonferroni,25,0.0,0.64,39.125
CON3-0,accident,periodic,25,0.0,1.0,32.12
CON3-0,dwell,tempo2,25,0.04,0.96,7.708333333333333
CON3-0,dwell,tempo1,25,0.04,0.96,13.458333333333334
CON3-0,dwell,tempo_flat,25,0.04,0.96,13.625
CON3-0,dwell,cusum_cal,25,0.04,0.96,11.666666666666666
CON3-0,dwell,cusum_match,25,0.04,0.96,28.333333333333332
CON3-0,dwell,ph_cal,25,0.04,0.96,17.208333333333332
CON3-0,dwell,ph_match,25,0.04,0.8,50.05
CON3-0,dwell,bonferroni,25,0.04,0.96,11.666666666666666
CON3-0,dwell,periodic,25,0.04,0.96,30.0
CON3-0,breakdown,tempo2,25,0.0,0.68,27.647058823529413
CON3-0,breakdown,tempo1,25,0.0,0.68,27.647058823529413
CON3-0,breakdown,tempo_flat,25,0.0,0.68,27.647058823529413
CON3-0,breakdown,cusum_cal,25,0.0,0.68,27.647058823529413
CON3-0,breakdown,cusum_match,25,0.0,0.68,27.647058823529413
CON3-0,breakdown,ph_cal,25,0.0,0.68,27.647058823529413
CON3-0,breakdown,ph_match,25,0.0,0.68,27.647058823529413
CON3-0,breakdown,bonferroni,25,0.0,0.68,27.647058823529413
CON3-0,breakdown,periodic,25,0.0,1.0,22.44
CON3-1,none,tempo2,25,0.0,,
CON3-1,none,tempo1,25,0.0,,
CON3-1,none,tempo_flat,25,0.0,,
CON3-1,none,cusum_cal,25,0.0,,
CON3-1,none,cusum_match,25,0.0,,
CON3-1,none,ph_cal,25,0.04,,
CON3-1,none,ph_match,25,0.0,,
CON3-1,none,bonferroni,25,0.0,,
CON3-1,none,periodic,25,1.0,,
CON3-1,traffic,tempo2,25,0.0,1.0,20.48
CON3-1,traffic,tempo1,25,0.0,0.52,39.07692307692308
CON3-1,traffic,tempo_flat,25,0.0,0.72,49.611111111111114
CON3-1,traffic,cusum_cal,25,0.0,1.0,37.6
CON3-1,traffic,cusum_match,25,0.0,0.88,75.68181818181819
CON3-1,traffic,ph_cal,25,0.0,0.68,45.529411764705884
CON3-1,traffic,ph_match,25,0.0,0.16,72.75
CON3-1,traffic,bonferroni,25,0.0,1.0,25.2
CON3-1,traffic,periodic,25,0.0,1.0,34.0
CON3-1,demand,tempo2,25,0.0,0.84,51.095238095238095
CON3-1,demand,tempo1,25,0.0,0.12,22.333333333333332
CON3-1,demand,tempo_flat,25,0.0,0.24,35.5
CON3-1,demand,cusum_cal,25,0.0,0.6,61.13333333333333
CON3-1,demand,cusum_match,25,0.0,0.12,22.333333333333332
CON3-1,demand,ph_cal,25,0.0,0.32,44.125
CON3-1,demand,ph_match,25,0.0,0.12,22.333333333333332
CON3-1,demand,bonferroni,25,0.0,1.0,45.16
CON3-1,demand,periodic,25,0.0,1.0,29.96
CON3-1,accident,tempo2,25,0.0,0.36,52.22222222222222
CON3-1,accident,tempo1,25,0.0,0.28,42.857142857142854
CON3-1,accident,tempo_flat,25,0.0,0.2,44.0
CON3-1,accident,cusum_cal,25,0.0,0.48,50.0
CON3-1,accident,cusum_match,25,0.0,0.2,72.0
CON3-1,accident,ph_cal,25,0.0,0.52,50.53846153846154
CON3-1,accident,ph_match,25,0.0,0.08,85.0
CON3-1,accident,bonferroni,25,0.0,0.64,40.5
CON3-1,accident,periodic,25,0.0,1.0,33.0
CON3-1,dwell,tempo2,25,0.0,1.0,8.68
CON3-1,dwell,tempo1,25,0.0,1.0,13.48
CON3-1,dwell,tempo_flat,25,0.0,1.0,14.28
CON3-1,dwell,cusum_cal,25,0.0,1.0,16.6
CON3-1,dwell,cusum_match,25,0.0,1.0,40.6
CON3-1,dwell,ph_cal,25,0.0,1.0,19.76
CON3-1,dwell,ph_match,25,0.0,1.0,49.64
CON3-1,dwell,bonferroni,25,0.0,1.0,10.0
CON3-1,dwell,periodic,25,0.0,1.0,30.0
