Instance,day,alarmed,never,never_nb,tempo+resequence,tempo+resequence_nb,tempo+rebalance,tempo+rebalance_nb,tempo+exact,tempo+exact_nb,oracle+rebalance,oracle+rebalance_nb
CON3-0,0,True,301.75910000000005,6,301.75909999999993,6,114.68466999999998,1,301.75909999999993,6,155.76470999999998,2
CON3-0,1,True,421.75909999999993,9,381.7591,8,239.36556000000004,4,381.7591,8,233.34577000000004,4
CON3-0,2,True,301.75909999999993,6,301.7591,6,312.62005999999997,6,301.7591,6,196.24454999999998,3
CON3-0,3,True,301.75909999999993,6,261.75910000000005,5,201.3873,3,261.75910000000005,5,231.12228000000005,4
CON3-0,4,True,301.7591,6,301.7591,6,354.33461,7,301.7591,6,161.6100500000001,2
CON3-0,5,True,221.75910000000007,4,181.75910000000005,3,199.44418000000002,3,181.75910000000005,3,193.57799000000006,3
CON3-0,6,True,341.75909999999993,7,301.7591,6,196.46167,3,301.7591,6,237.34804000000005,4
CON3-0,7,True,461.75909999999993,10,381.75909999999993,8,233.99672999999999,4,381.75909999999993,8,316.4008400000001,6
CON3-0,8,True,381.7591,8,341.7591,7,269.69591,5,341.7591,7,233.57799000000006,4
CON3-0,9,True,341.7591,7,301.7591,6,232.48512,4,301.7591,6,232.55705000000006,4
CON3-0,10,True,501.7591,11,461.75909999999993,10,312.82514999999995,6,461.75909999999993,10,311.1222800000001,6
CON3-0,11,True,461.75909999999993,10,421.7591,9,273.98712000000006,5,421.7591,9,235.08251,4
CON3-0,12,True,341.75909999999993,7,301.75910000000005,6,195.40695000000002,3,301.75910000000005,6,155.87867000000003,2
CON3-0,13,True,421.75909999999993,9,381.7591,8,230.69675,4,381.7591,8,192.55705000000006,3
CON3-0,14,True,381.7591,8,381.7591,8,275.1192400000001,5,381.7591,8,193.21044,3
CON3-0,15,True,301.7591,6,261.7591,5,193.87575999999996,3,261.7591,5,234.99571999999998,4
CON3-0,16,True,301.7591,6,261.75910000000005,5,164.38122,2,261.75910000000005,5,194.66139000000004,3
CON3-0,17,True,301.75909999999993,6,261.7591,5,191.20532000000003,3,261.7591,5,231.12228000000002,4
CON3-0,18,True,421.75909999999993,9,341.7591,7,279.28891000000004,5,341.7591,7,235.14123,4
CON3-0,19,True,381.75909999999993,8,341.7591,7,162.55814999999996,2,341.7591,7,193.57799000000006,3
CON3-1,0,True,735.44686,17,576.9159599999999,13,107.52425000000002,1,576.9159599999999,13,230.00217000000006,4
CON3-1,1,True,535.4468599999999,12,295.81534,6,69.81975999999999,0,295.44686,6,69.00393999999999,0
CON3-1,2,True,655.4468600000001,15,576.9159600000002,13,143.56066,2,576.9159600000002,13,145.06037000000003,2
CON3-1,3,True,655.4468600000002,15,535.81534,12,115.51871,1,495.4468599999999,11,155.05238000000003,2
CON3-1,4,True,575.4468599999999,13,539.0430499999999,12,220.39322,4,539.0430499999999,12,195.48843999999997,3
CON3-1,5,True,655.44686,15,215.81534,4,63.02530999999999,0,255.44686000000002,5,109.01966000000003,1
CON3-1,6,True,695.4468600000002,16,616.9159600000002,14,274.10492,5,616.9159600000002,14,310.22256,6
CON3-1,7,True,735.44686,17,699.04305,16,192.97351999999995,3,699.04305,16,233.18870000000007,4
CON3-1,8,True,575.4468599999999,13,499.0430499999999,11,154.14180000000005,2,499.0430499999999,11,194.97084000000007,3
CON3-1,9,True,615.44686,14,536.9159599999999,12,182.99573000000004,3,536.9159599999999,12,187.64719000000005,3
CON3-1,10,True,455.4468599999999,10,376.91596,8,102.98586,1,376.91596,8,144.85401000000002,2
CON3-1,11,True,855.4468600000001,20,819.0430499999999,19,223.62954000000002,4,819.0430499999999,19,195.05238000000008,3
CON3-1,12,True,615.44686,14,215.44686000000002,4,103.02467999999999,1,215.44686000000002,4,190.22256000000004,3
CON3-1,13,True,695.4468600000002,16,615.8153400000002,14,234.89971999999997,4,615.4468600000001,14,270.00217000000004,5
CON3-1,14,True,855.4468600000002,20,655.8153400000001,15,146.47191999999998,2,655.44686,15,229.00394000000003,4
CON3-1,15,True,615.44686,14,496.9159599999999,11,225.06783000000001,4,496.9159599999999,11,155.48844,2
CON3-1,16,True,375.44686,8,175.44686,3,102.98752,1,175.44686,3,189.71376000000006,3
CON3-1,17,True,815.4468600000002,19,656.9159600000002,15,235.23039999999997,4,656.9159600000002,15,268.40517000000006,5
CON3-1,18,True,695.4468600000001,16,576.7864800000001,13,199.15604999999996,3,576.418,13,274.97084,5
CON3-1,19,True,695.4468600000001,16,656.9159600000002,15,189.82809,3,656.9159600000002,15,189.7137600000001,3
CON3-2,0,True,532.3461100000001,12,412.34611000000007,9,55.84421999999999,0,412.34611000000007,9,136.42189000000002,2
CON3-2,1,True,772.3461099999997,18,692.3461099999998,16,263.5813599999999,5,692.3461099999998,16,298.97539,6
CON3-2,2,True,452.3461100000001,10,372.3461100000001,8,136.54193,2,372.3461100000001,8,256.42188999999996,5
CON3-2,3,True,492.3461100000001,11,292.61833,6,144.39071,2,292.34611,6,95.92603999999999,1
CON3-2,4,True,452.34611000000007,10,332.34611000000007,7,59.53574,0,332.34611000000007,7,176.52725999999998,3
CON3-2,5,True,332.3461100000001,7,212.34611,4,58.952,0,212.34611,4,96.16042000000002,1
CON3-2,6,True,452.34611000000007,10,372.34611,8,96.71335,1,372.34611,8,97.67745,1
CON3-2,7,True,612.34611,14,452.34611000000007,10,134.39281,2,452.34611000000007,10,176.56505999999996,3
CON3-2,8,True,572.34611,13,412.3461100000002,9,95.28535999999998,1,412.3461100000002,9,135.92603999999994,2
CON3-2,9,True,452.3461100000002,10,412.3461100000002,9,119.44039,1,412.3461100000002,9,96.52726,1
CON3-2,10,True,492.3461100000002,11,412.34611000000007,9,98.19156,1,412.34611000000007,9,177.67744999999996,3
CON3-2,11,True,452.3461100000001,10,292.61833,6,143.33913,2,292.34611,6,136.56506000000002,2
