Instance,Plan,N_cust,K_routes,Travel_km,Fixed_cost,none_rec,none_TBC,none_S,none_HO,none_fail,v1_end_rec,v1_end_TBC,v1_end_S,v1_end_HO,v1_end_fail,v1_end_saving,v1_end_gap,v1_myo_rec,v1_myo_TBC,v1_myo_S,v1_myo_HO,v1_myo_fail,v1_myo_saving,v1_myo_gap,fb_tau_rec,fb_tau_TBC,fb_tau_S,fb_tau_HO,fb_tau_fail,fb_tau_saving,fb_tau_gap,pi1_rec,pi1_TBC,pi1_S,pi1_HO,pi1_fail,pi1_saving,pi1_gap,pi2_rec,pi2_TBC,pi2_S,pi2_HO,pi2_fail,pi2_saving,pi2_gap,pi3_rec,pi3_TBC,pi3_S,pi3_HO,pi3_fail,pi3_saving,pi3_gap,rollout_rec,rollout_TBC,rollout_S,rollout_HO,rollout_fail,rollout_saving,rollout_gap,restock_rec,restock_TBC,restock_S,restock_HO,restock_fail,restock_saving,restock_gap,v2_lsm_rec,v2_lsm_TBC,v2_lsm_S,v2_lsm_HO,v2_lsm_fail,v2_lsm_saving,v2_lsm_gap,v2_act_rec,v2_act_TBC,v2_act_S,v2_act_HO,v2_act_fail,v2_act_saving,v2_act_gap,dp_n_rec,dp_n_TBC,dp_n_S,dp_n_HO,dp_n_fail,dp_n_saving,dp_n_gap,dp_xl_rec,dp_xl_TBC,dp_xl_S,dp_xl_HO,dp_xl_fail,dp_xl_saving,dp_xl_gap,oracle_rec,oracle_TBC,oracle_S,oracle_HO,oracle_fail,oracle_saving,solve_s,eval_s
CON3-1,Det,50,4,554.47,195.45,137.14,332.58,0,0.0,0.3728,96.4,291.85,3,0.3145,0.0993,29.71,30.85,108.49,303.94,3,0.4319,0.061,20.89,51.38,94.24,289.69,3,0.3045,0.0985,31.28,27.19,100.41,295.86,3,0.3606,0.0879,26.78,37.66,104.47,299.92,3,0.2929,0.1305,23.82,44.56,97.11,292.56,3,0.3132,0.1001,29.19,32.06,102.68,298.12,3,0.398,0.0653,25.13,41.51,135.81,331.26,1,0.04,0.3455,0.97,97.75,93.67,289.12,3,0.3242,0.0885,31.69,26.22,91.7,287.14,3,0.2876,0.0899,33.13,22.87,94.12,289.57,3,0.3261,0.0865,31.37,26.99,92.58,288.03,3,0.3251,0.0841,32.49,24.38,78.22,273.67,3,0.3179,0.0549,42.96,0.0,1.9
CON3-1,SAA,50,5,616.97,236.7,9.87,246.56,0,0.0,0.0328,8.28,244.97,1,0.0311,0.0082,16.13,64.26,11.28,247.98,2,0.0528,0.0024,-14.32,131.74,8.34,245.04,1,0.0325,0.0076,15.43,65.8,9.08,245.78,1,0.0202,0.0189,7.99,82.29,8.09,244.79,1,0.024,0.0135,17.97,60.18,8.44,245.14,0,0.0152,0.0191,14.48,67.91,9.21,245.91,2,0.0428,0.0034,6.68,85.19,4.36,241.06,3,0.0634,0.0033,55.78,-23.6,7.32,244.02,1,0.0317,0.0066,25.83,42.76,3.21,239.91,0,0.0,0.0023,67.46,-49.49,8.18,244.88,1,0.0327,0.0078,17.09,62.12,6.96,243.66,1,0.0296,0.0067,29.42,34.81,5.41,242.11,1,0.0328,0.0,45.12,0.0,1.9
CON3-1,WDRO,50,6,637.92,273.79,1.57,275.36,0,0.0,0.0047,1.67,275.46,0,0.0063,0.0008,-6.63,115.23,2.23,276.02,0,0.0088,0.0004,-42.34,197.19,1.67,275.46,0,0.0063,0.0008,-6.63,115.23,1.32,275.12,0,0.0034,0.0019,15.49,64.45,1.21,275.0,0,0.0032,0.0018,22.67,47.96,1.33,275.12,0,0.0029,0.0022,15.46,64.52,1.8,275.59,0,0.0073,0.0004,-14.83,134.03,0.62,274.41,0,0.0068,0.0008,60.38,-38.59,1.23,275.02,0,0.0046,0.001,21.76,50.06,0.55,274.34,0,0.0,0.0007,65.02,-49.26,1.57,275.36,0,0.0,0.0047,0.0,100.0,1.23,275.02,0,0.0043,0.0012,21.66,50.28,0.88,274.68,0,0.0047,0.0,43.56,0.0,1.8
CON3-1,Gounaris,50,5,603.05,235.3,9.73,245.03,0,0.0,0.032,8.01,243.31,1,0.0303,0.0074,17.64,60.95,11.39,246.69,2,0.0533,0.002,-17.12,137.9,8.05,243.35,1,0.0308,0.0072,17.26,61.79,8.85,244.15,1,0.0289,0.013,9.03,80.0,7.18,242.49,1,0.0247,0.0099,26.14,42.12,7.41,242.72,1,0.0227,0.0117,23.77,47.36,8.78,244.08,1,0.0401,0.0032,9.73,78.45,4.36,239.67,2,0.051,0.0055,55.14,-22.08,6.74,242.04,1,0.0283,0.0066,30.73,31.97,3.52,238.83,0,0.0,0.0055,63.77,-41.17,7.99,243.29,1,0.0341,0.0067,17.87,60.44,6.63,241.94,1,0.0287,0.0058,31.82,29.56,5.33,240.64,1,0.032,0.0,45.17,0.0,1.9
CON3-1,Cui,50,5,603.9,235.39,9.38,244.77,0,0.0,0.0305,8.28,243.67,1,0.0364,0.004,11.73,74.25,12.04,247.43,2,0.0563,0.0014,-28.35,162.26,8.22,243.61,1,0.0364,0.0039,12.37,72.84,8.29,243.68,1,0.0314,0.0094,11.59,74.55,7.38,242.77,1,0.0255,0.0098,21.37,53.07,7.51,242.9,1,0.0196,0.0132,19.95,56.19,9.46,244.85,2,0.045,0.0018,-0.88,101.92,4.3,239.68,2,0.0558,0.0031,54.21,-19.06,6.81,242.2,1,0.0314,0.0046,27.44,39.74,3.42,238.81,0,0.0,0.0035,63.52,-39.5,8.52,243.91,2,0.0383,0.0053,9.16,79.88,6.24,241.63,1,0.0284,0.0046,33.48,26.48,5.11,240.5,1,0.0305,0.0,45.53,0.0,1.9
CON3-1,MDRO,50,6,636.03,273.6,1.69,275.29,0,0.0,0.0052,1.62,275.23,0,0.0062,0.0008,3.9,91.08,2.75,276.35,0,0.0111,0.0003,-62.6,243.01,1.62,275.23,0,0.0062,0.0008,3.9,91.08,1.34,274.94,0,0.0039,0.0018,20.62,52.88,1.38,274.98,0,0.003,0.0025,18.55,57.63,1.31,274.91,0,0.0032,0.0022,22.57,48.44,1.92,275.53,0,0.0081,0.0005,-13.8,131.54,0.72,274.32,0,0.0096,0.0007,57.34,-31.0,1.3,274.9,0,0.0045,0.0014,23.27,46.85,0.54,274.15,0,0.0,0.0006,67.81,-54.93,1.69,275.29,0,0.0,0.0052,0.0,100.0,1.45,275.05,0,0.0053,0.0014,14.2,67.55,0.95,274.55,0,0.0052,0.0,43.77,0.0,1.8
CON3-0,Det,50,4,617.59,201.76,100.54,302.3,0,0.0,0.2526,86.32,288.08,2,0.1494,0.121,14.14,44.58,102.28,304.04,2,0.255,0.0906,-1.73,106.78,86.25,288.01,2,0.1568,0.1156,14.21,44.31,88.24,290.0,2,0.1683,0.1219,12.24,52.07,87.26,289.02,2,0.1792,0.1171,13.21,48.25,86.8,288.55,1,0.1119,0.148,13.67,46.44,92.34,294.1,2,0.2092,0.0969,8.16,68.03,90.51,292.27,1,0.0775,0.196,9.98,60.9,82.27,284.03,2,0.1618,0.1101,18.17,28.81,77.98,279.74,1,0.052,0.1205,22.44,12.1,83.6,285.36,2,0.1562,0.1167,16.85,33.97,82.16,283.92,2,0.161,0.1092,18.28,28.37,74.88,276.64,2,0.1638,0.0889,25.52,0.0,1.9
CON3-0,SAA,50,5,700.38,245.04,11.97,257.01,0,0.0,0.0357,9.22,254.26,1,0.0353,0.0069,22.98,49.02,11.39,256.43,2,0.0525,0.0021,4.88,89.18,9.22,254.26,1,0.0353,0.0069,22.97,49.05,10.91,255.95,1,0.0176,0.0224,8.89,80.29,9.19,254.23,1,0.0271,0.0126,23.23,48.48,9.94,254.98,1,0.0179,0.0189,16.97,62.36,10.09,255.13,2,0.0436,0.004,15.68,65.23,6.81,251.85,2,0.0533,0.0109,43.14,4.32,8.56,253.59,1,0.0324,0.0072,28.53,36.72,4.15,249.19,0,0.0,0.0041,65.34,-44.93,9.82,254.86,1,0.0279,0.0133,17.97,60.15,8.31,253.35,1,0.032,0.0068,30.59,32.15,6.57,251.61,1,0.0357,0.0,45.08,0.0,1.9
CON3-0,WDRO,50,6,736.26,283.63,2.06,285.69,0,0.0,0.0058,2.1,285.72,0,0.0069,0.0017,-1.81,104.19,2.41,286.04,0,0.0085,0.0013,-16.95,139.21,2.1,285.72,0,0.0069,0.0017,-1.81,104.19,1.91,285.53,0,0.0028,0.0037,7.39,82.9,1.85,285.48,0,0.0019,0.0041,10.1,76.62,1.8,285.43,0,0.0025,0.0036,12.64,70.76,2.11,285.74,0,0.0072,0.0014,-2.42,105.59,1.15,284.77,0,0.0078,0.0021,44.43,-2.8,1.66,285.28,0,0.0048,0.0019,19.66,54.52,0.94,284.56,0,0.0,0.0017,54.63,-26.4,2.06,285.69,0,0.0,0.0058,0.0,100.0,1.67,285.29,0,0.004,0.0024,19.07,55.87,1.17,284.8,0,0.0058,0.0,43.22,0.0,1.8
CON3-0,Gounaris,50,5,720.84,247.08,12.36,259.44,0,0.0,0.0372,9.81,256.89,1,0.0354,0.0089,20.66,53.56,12.55,259.63,2,0.0569,0.0023,-1.55,103.49,9.82,256.9,1,0.0357,0.0087,20.54,53.82,11.9,258.98,0,0.0124,0.0288,3.72,91.63,9.31,256.39,1,0.0311,0.0108,24.71,44.45,10.29,257.37,0,0.0158,0.0221,16.76,62.33,10.94,258.03,2,0.0465,0.0048,11.45,74.26,6.48,253.57,3,0.0775,0.007,47.55,-6.91,9.02,256.11,1,0.0319,0.0094,26.98,39.35,4.15,251.24,0,0.0,0.0037,66.38,-49.25,9.61,256.7,1,0.0326,0.0101,22.23,50.02,8.73,255.82,1,0.0333,0.0078,29.35,34.0,6.86,253.95,1,0.0372,0.0,44.48,0.0,2.0
CON3-0,Cui,50,5,705.44,245.54,11.88,257.42,0,0.0,0.0364,9.19,254.74,1,0.0352,0.0071,22.59,49.65,12.24,257.78,2,0.0547,0.0029,-3.06,106.82,9.19,254.74,1,0.0352,0.0071,22.59,49.65,10.72,256.26,1,0.0158,0.0233,9.77,78.24,9.06,254.6,1,0.0262,0.0133,23.73,47.12,10.5,256.05,0,0.0102,0.0263,11.56,74.24,10.4,255.94,2,0.0463,0.004,12.44,72.27,6.53,252.08,2,0.0471,0.0112,44.99,-0.27,8.66,254.2,1,0.0274,0.0112,27.08,39.65,4.51,250.05,0,0.0,0.0055,62.03,-38.23,9.99,255.54,2,0.0359,0.0102,15.86,64.65,8.42,253.97,1,0.0288,0.0099,29.07,35.21,6.55,252.09,1,0.0364,0.0,44.87,0.0,1.9
