Instance,Plan,N_cust,K_routes,Travel_km,Fixed_cost,none_rec,none_TBC,none_HO,none_fail,v1_end_rec,v1_end_TBC,v1_end_HO,v1_end_fail,v1_end_saving,v1_end_gap,v1_myo_rec,v1_myo_TBC,v1_myo_HO,v1_myo_fail,v1_myo_saving,v1_myo_gap,fb_tau_rec,fb_tau_TBC,fb_tau_HO,fb_tau_fail,fb_tau_saving,fb_tau_gap,pi1_rec,pi1_TBC,pi1_HO,pi1_fail,pi1_saving,pi1_gap,pi2_rec,pi2_TBC,pi2_HO,pi2_fail,pi2_saving,pi2_gap,pi3_rec,pi3_TBC,pi3_HO,pi3_fail,pi3_saving,pi3_gap,v2_lsm_rec,v2_lsm_TBC,v2_lsm_HO,v2_lsm_fail,v2_lsm_saving,v2_lsm_gap,dp_n_rec,dp_n_TBC,dp_n_HO,dp_n_fail,dp_n_saving,dp_n_gap,dp_xl_rec,dp_xl_TBC,dp_xl_HO,dp_xl_fail,dp_xl_saving,dp_xl_gap,oracle_rec,oracle_TBC,oracle_HO,oracle_fail,oracle_saving,solve_s,eval_s
CON3-1,MDRO,50,6,636.03,273.6,2.49,276.1,0.0,0.0075,1.45,275.05,0.0083,0.0009,41.93,38.12,2.46,276.06,0.0157,0.0003,1.28,98.11,1.45,275.05,0.0083,0.0009,41.93,38.12,1.5,275.1,0.0103,0.0011,40.0,40.98,1.68,275.28,0.0043,0.0037,32.67,51.79,1.51,275.12,0.0058,0.0027,39.28,42.04,1.28,274.89,0.0081,0.0012,48.55,28.35,2.28,275.88,0.0028,0.0059,8.73,87.11,1.23,274.83,0.0082,0.001,50.59,25.34,0.8,274.41,0.0075,0.0,67.76,16.4,1.0
CON3-2,MDRO,50,6,596.94,269.69,1.63,271.32,0.0,0.0045,1.09,270.78,0.0057,0.0006,33.16,49.28,1.87,271.56,0.0103,0.0003,-14.6,122.34,1.08,270.77,0.0056,0.0006,33.67,48.49,1.38,271.07,0.0061,0.0017,15.39,76.47,1.12,270.81,0.003,0.002,31.48,51.85,0.92,270.62,0.0042,0.0011,43.31,33.74,1.03,270.72,0.005,0.001,36.98,43.44,1.63,271.32,0.0,0.0045,0.0,100.0,0.89,270.58,0.0049,0.0008,45.44,30.5,0.56,270.26,0.0045,0.0,65.37,17.6,1.0
CON3-0,MDRO,50,6,750.2,285.02,1.95,286.97,0.0,0.0056,1.57,286.59,0.008,0.0008,19.51,70.0,1.8,286.82,0.0111,0.0001,7.68,88.2,1.57,286.59,0.008,0.0008,19.51,70.0,1.56,286.58,0.0021,0.0037,20.22,68.9,1.59,286.61,0.0017,0.0039,18.21,72.0,1.44,286.46,0.0024,0.0032,25.89,60.19,1.04,286.06,0.0056,0.0009,46.63,28.29,1.95,286.97,0.0,0.0056,0.0,100.0,1.15,286.17,0.0053,0.0014,41.01,36.93,0.68,285.7,0.0056,0.0,65.03,28.6,1.0
CON3-4,MDRO,50,6,667.6,276.76,1.55,278.31,0.0,0.0046,1.05,277.81,0.0056,0.001,32.49,51.83,1.24,277.99,0.0077,0.0007,20.23,70.01,1.05,277.81,0.0056,0.001,32.49,51.83,1.26,278.02,0.002,0.0031,18.35,72.79,1.18,277.94,0.0028,0.0026,23.92,64.54,1.31,278.07,0.0012,0.0035,15.2,77.46,0.95,277.71,0.0034,0.0017,38.73,42.57,1.55,278.31,0.0,0.0046,0.0,100.0,0.78,277.54,0.0063,0.0003,49.7,26.31,0.5,277.26,0.0046,0.0,67.44,20.5,1.0
CON3-3,MDRO,50,6,712.36,281.24,4.08,285.31,0.0,0.012,2.64,283.88,0.0111,0.0031,35.18,47.43,3.95,285.19,0.0219,0.0009,2.96,95.58,2.64,283.88,0.0111,0.0031,35.18,47.43,2.62,283.86,0.0116,0.0037,35.65,46.73,2.65,283.89,0.0074,0.0053,34.94,47.78,2.79,284.03,0.0067,0.0058,31.53,52.88,2.28,283.51,0.0086,0.0038,44.12,34.06,4.08,285.31,0.0,0.012,0.0,100.0,1.9,283.13,0.0129,0.0012,53.44,20.14,1.35,282.58,0.012,0.0,66.91,20.9,1.0
CON3-5,MDRO,50,6,648.53,274.85,1.4,276.25,0.0,0.0041,0.89,275.75,0.0052,0.0004,36.12,45.99,1.19,276.04,0.0082,0.0,15.05,77.49,0.89,275.75,0.0052,0.0004,36.12,45.99,1.03,275.88,0.0023,0.0022,26.56,60.27,0.8,275.65,0.0039,0.001,43.04,35.63,0.75,275.6,0.0039,0.0008,46.74,30.1,0.81,275.66,0.0051,0.0006,42.22,36.86,1.4,276.25,0.0,0.0041,0.0,100.0,0.77,275.62,0.0043,0.0008,45.15,32.48,0.46,275.32,0.0041,0.0,66.87,28.4,0.9
CON3-6,MDRO,50,6,578.21,267.82,1.96,269.79,0.0,0.006,1.28,269.1,0.0067,0.001,35.0,47.84,2.01,269.83,0.0128,0.0002,-2.07,103.08,1.28,269.1,0.0067,0.001,35.0,47.84,1.21,269.03,0.006,0.0017,38.27,42.98,1.25,269.07,0.0034,0.0027,36.45,45.68,1.32,269.14,0.0037,0.0028,32.93,50.92,0.88,268.7,0.0066,0.0005,55.09,17.91,1.61,269.43,0.009,0.0014,18.08,73.05,0.96,268.79,0.0077,0.0003,50.91,24.14,0.65,268.47,0.006,0.0,67.11,21.0,0.9
CON3-7,MDRO,50,6,680.38,278.04,0.94,278.98,0.0,0.0024,0.7,278.73,0.0044,0.0001,25.77,60.62,1.14,279.18,0.0067,0.0001,-21.44,132.76,0.7,278.73,0.0044,0.0001,25.77,60.62,0.73,278.77,0.0009,0.0015,21.87,66.58,0.61,278.65,0.0013,0.0012,34.86,46.73,0.67,278.71,0.0013,0.0013,28.15,56.98,0.6,278.63,0.0021,0.0008,36.42,44.35,0.94,278.98,0.0,0.0024,0.0,100.0,0.67,278.71,0.0035,0.0006,28.76,56.05,0.32,278.36,0.0024,0.0,65.44,28.2,0.9
CON3-8,MDRO,50,6,642.8,274.28,1.79,276.07,0.0,0.005,1.21,275.49,0.0073,0.0003,32.49,50.72,2.46,276.74,0.0146,0.0001,-37.51,156.9,1.21,275.49,0.0073,0.0003,32.49,50.72,1.43,275.71,0.0046,0.0023,19.89,69.82,1.24,275.52,0.0039,0.0021,30.71,53.41,1.14,275.42,0.006,0.001,36.28,44.96,0.97,275.25,0.0053,0.0009,45.62,30.81,1.79,276.07,0.0,0.005,0.0,100.0,0.89,275.17,0.0071,0.0,50.54,23.34,0.61,274.89,0.005,0.0,65.92,19.6,0.9
CON3-9,MDRO,50,6,658.26,275.83,1.35,277.17,0.0,0.004,1.14,276.97,0.0059,0.0009,15.07,77.73,2.4,278.23,0.014,0.0003,-78.77,216.4,1.13,276.96,0.0061,0.0008,15.78,76.68,0.94,276.76,0.004,0.0014,30.47,54.97,0.96,276.79,0.0031,0.0018,28.72,57.57,1.11,276.93,0.0017,0.0027,17.63,73.95,0.83,276.65,0.0043,0.001,38.5,43.1,1.41,277.24,0.0112,0.0003,-4.72,106.98,0.75,276.58,0.0061,0.0002,44.34,34.47,0.43,276.26,0.004,0.0,67.67,27.4,0.8
CON8-0,MDRO,50,17,1235.84,718.58,6.8,725.38,0.0,0.0069,5.77,724.36,0.0075,0.0031,15.03,76.77,6.68,725.26,0.0109,0.0027,1.71,97.36,5.76,724.35,0.0075,0.0031,15.19,76.53,5.76,724.34,0.0037,0.0045,15.25,76.43,5.64,724.23,0.0042,0.0042,16.97,73.77,5.59,724.17,0.0036,0.0044,17.74,72.58,5.78,724.37,0.0074,0.0033,14.87,77.02,6.81,725.39,0.004,0.0055,-0.21,100.32,5.35,723.93,0.0042,0.0039,21.29,67.09,2.4,720.98,0.0069,0.0,64.7,30.9,0.8
CON8-2,MDRO,50,16,1073.47,667.35,4.4,671.74,0.0,0.0048,3.41,670.76,0.0047,0.002,22.41,65.2,3.66,671.01,0.0056,0.0019,16.75,73.99,3.45,670.79,0.0046,0.0021,21.6,66.45,3.61,670.96,0.003,0.0029,17.94,72.14,3.83,671.18,0.0023,0.0034,12.87,80.01,3.79,671.14,0.0028,0.0032,13.82,78.54,3.36,670.71,0.0042,0.0022,23.52,63.48,4.38,671.73,0.0017,0.0043,0.38,99.41,3.21,670.55,0.0044,0.0019,27.07,57.95,1.57,668.91,0.0048,0.0,64.39,22.1,0.8
CON8-1,MDRO,50,17,1142.37,709.24,4.08,713.32,0.0,0.004,4.01,713.24,0.0039,0.0025,1.81,97.17,3.98,713.22,0.0038,0.0025,2.47,96.13,3.97,713.21,0.0037,0.0026,2.67,95.83,3.83,713.07,0.0015,0.0033,6.11,90.43,3.77,713.0,0.0016,0.0031,7.67,87.99,3.78,713.02,0.0013,0.0033,7.3,88.57,3.7,712.94,0.0032,0.0025,9.31,85.43,4.08,713.32,0.0,0.004,0.0,100.0,3.59,712.83,0.0028,0.0026,11.91,81.35,1.47,710.71,0.004,0.0,63.86,35.8,0.8
CON8-4,MDRO,50,16,1098.85,669.89,8.51,678.39,0.0,0.0095,6.95,676.84,0.0087,0.0045,18.28,72.12,7.3,677.18,0.0121,0.0034,14.23,78.3,7.04,676.92,0.0084,0.0047,17.3,73.63,7.02,676.9,0.0065,0.0055,17.53,73.28,8.16,678.04,0.0018,0.0085,4.13,93.7,8.18,678.07,0.0018,0.0085,3.82,94.18,6.65,676.53,0.009,0.0043,21.9,66.61,8.33,678.21,0.0019,0.0086,2.14,96.74,6.48,676.36,0.007,0.0048,23.91,63.55,2.93,672.81,0.0095,0.0,65.59,25.0,0.8
CON8-5,MDRO,50,16,1175.46,677.55,4.64,682.18,0.0,0.0051,4.09,681.63,0.0036,0.0032,11.91,80.05,4.73,682.27,0.0063,0.0026,-1.91,103.21,4.09,681.63,0.0036,0.0032,11.91,80.05,4.21,681.75,0.0027,0.0037,9.27,84.47,4.18,681.72,0.0012,0.0042,9.94,83.35,4.12,681.66,0.0013,0.0041,11.26,81.15,3.99,681.54,0.0035,0.0032,13.99,76.57,4.39,681.93,0.0018,0.0042,5.39,90.97,3.83,681.38,0.0039,0.0028,17.31,71.0,1.87,679.42,0.0051,0.0,59.7,40.7,0.7
CON8-3,MDRO,50,17,1175.36,712.54,8.14,720.68,0.0,0.0085,6.63,719.16,0.0081,0.004,18.6,71.19,7.23,719.76,0.01,0.0039,11.21,82.64,6.63,719.16,0.0081,0.004,18.6,71.19,6.54,719.08,0.0059,0.0047,19.6,69.63,7.19,719.73,0.003,0.0064,11.66,81.93,7.19,719.73,0.003,0.0064,11.66,81.93,6.65,719.18,0.0074,0.0043,18.31,71.62,8.32,720.86,0.0018,0.008,-2.21,103.42,6.5,719.03,0.0072,0.0042,20.17,68.74,2.89,715.42,0.0085,0.0,64.54,59.8,0.7
CON8-8,MDRO,50,17,1161.5,711.15,5.32,716.47,0.0,0.0053,4.05,715.2,0.005,0.0022,23.79,62.96,4.15,715.3,0.0062,0.0019,21.99,65.76,4.05,715.2,0.005,0.0022,23.79,62.96,4.29,715.44,0.0026,0.0034,19.26,70.0,4.8,715.95,0.0012,0.0044,9.68,84.93,4.79,715.94,0.0012,0.0044,9.85,84.67,3.96,715.11,0.0048,0.0023,25.52,60.26,5.08,716.23,0.0021,0.0043,4.53,92.95,3.95,715.1,0.0047,0.0023,25.77,59.87,1.9,713.05,0.0053,0.0,64.21,19.1,0.8
