Instance,n_cust,Q,ALNS_obj,MIP_UB,MIP_LB,MIP_status,gap_alns_pct,gap_mip_pct,mip_s
CON3-0,50,8080987.0,7677279.4,7692703.4,7027826.7,Optimal,8.46,8.64,300.2
CON3-1,50,9262573.0,6987374.4,7059938.4,6366544.1,Optimal,8.89,9.82,300.2
CON3-2,50,8544946.0,6535824.4,6790917.4,5824964.2,Optimal,10.88,14.22,300.2
CON3-3,50,8493987.0,7485447.2,7457878.2,7183165.2,Optimal,4.04,3.68,300.2
CON3-4,50,8776362.0,7426641.7,7484328.7,6743114.1,Optimal,9.2,9.9,300.2
CON3-5,50,7725403.0,7465565.7,7251342.7,6477722.3,Optimal,13.23,10.67,300.2
CON3-6,50,7341109.0,6406621.7,6323665.7,5676547.5,Optimal,11.4,10.23,300.2
CON3-7,50,8290151.0,7519690.5,7625592.5,6617988.3,Optimal,11.99,13.21,300.2
CON3-8,50,8239189.0,6673591.9,6686863.9,6010884.5,Optimal,9.93,10.11,300.2
CON3-9,50,7188232.0,7376577.1,7427463.1,6592044.8,Optimal,10.64,11.25,300.3
CON8-0,50,3030370.0,12096490.1,12902394.5,10871089.9,Optimal,10.13,15.74,300.2
CON8-1,50,3473465.0,10655320.0,12106877.1,9675722.8,Optimal,9.19,20.08,300.2
CON8-2,50,3204355.0,10079410.0,10735067.4,8998950.7,Optimal,10.72,16.17,300.2
CON8-3,50,3185245.0,11733075.2,13999486.7,10721140.1,Optimal,8.62,23.42,300.2
CON8-4,50,3291136.0,11178327.8,12136477.2,9965022.1,Optimal,10.85,17.89,300.2
CON8-5,50,2897026.0,11080355.3,11976846.2,9731817.6,Optimal,12.17,18.74,300.2
CON8-6,50,2752916.0,9698837.9,11082164.4,8576600.6,Optimal,11.57,22.61,300.2
CON8-7,50,3108806.0,12012955.2,13331899.5,10634119.4,Optimal,11.48,20.24,300.2
CON8-8,50,3089696.0,11086709.2,12803937.7,9851142.6,Optimal,11.14,23.06,300.3
CON8-9,50,2695587.0,11765654.0,13385785.6,10182454.0,Optimal,13.46,23.93,300.2
SCA3-0,50,8236853.0,8340883.1,8328999.1,7130928.1,Optimal,14.51,14.38,300.2
SCA3-1,50,7725037.0,9087681.2,9273185.2,8000623.7,Optimal,11.96,13.72,300.2
SCA3-2,50,8326711.0,8765359.1,8836186.1,8433396.9,Optimal,3.79,4.56,300.2
SCA3-3,50,8595056.0,8980096.9,8999415.9,7873970.2,Optimal,12.32,12.51,300.2
SCA3-4,50,9863399.0,9040996.3,9046167.3,8297983.5,Optimal,8.22,8.27,300.2
SCA3-5,50,8131740.0,8880917.2,8915741.2,7767307.9,Optimal,12.54,12.88,300.2
SCA3-6,50,8066750.0,8626324.1,8463732.1,7456917.4,Optimal,13.56,11.9,300.2
SCA3-7,50,8335093.0,8758578.1,8920308.1,7745844.3,Optimal,11.56,13.17,300.2
SCA3-8,50,8270102.0,9392773.3,9494656.3,8194725.1,Optimal,12.75,13.69,300.2
SCA3-9,50,7538443.0,8914501.9,9161130.9,7911758.5,Optimal,11.25,13.64,300.2
SCA8-0,50,3088820.0,14125328.1,15931346.1,12351679.6,Optimal,12.56,22.47,300.2
SCA8-1,50,2896889.0,15570374.6,17291331.6,13633909.7,Optimal,12.44,21.15,300.2
SCA8-2,50,3122516.0,15598325.7,16808899.0,13728417.0,Optimal,11.99,18.33,300.2
SCA8-3,50,3223146.0,14756012.3,16034402.8,12976227.4,Optimal,12.06,19.07,300.2
SCA8-4,50,3698775.0,15616534.5,17066793.3,13854071.2,Optimal,11.29,18.82,300.2
SCA8-5,50,3049402.0,15044676.1,17155419.9,13321460.3,Optimal,11.45,22.35,300.2
SCA8-6,50,3025031.0,14188559.9,16586092.4,12429937.4,Optimal,12.39,25.06,300.2
SCA8-7,50,3125659.0,16018588.8,17466022.6,13820457.6,Optimal,13.72,20.87,300.2
SCA8-8,50,3101288.0,15754779.4,16518285.4,13949520.6,Optimal,11.46,15.55,300.2
SCA8-9,50,2826917.0,15489048.1,17641043.5,13720452.4,Optimal,11.42,22.22,300.2
