Instance,n_cust,Q,ALNS_obj,MIP_UB,MIP_LB,MIP_status,gap_alns_pct,gap_mip_pct,mip_s
CON3-0,50,8080987.0,7677279.4,7677279.4,7111727.9,Not Solved,7.37,7.37,300.1
CON3-1,50,9262573.0,6987374.4,7023587.9,6452309.2,Not Solved,7.66,8.13,300.1
CON3-2,50,8544946.0,6535824.4,6541054.4,5915458.3,Not Solved,9.49,9.56,300.2
CON3-3,50,8493987.0,7485447.2,7459077.2,6952785.1,Not Solved,7.12,6.79,300.2
CON3-4,50,8776362.0,7426641.7,7328113.4,6785104.5,Not Solved,8.64,7.41,300.1
CON3-5,50,7725403.0,7465565.7,7164064.7,6618545.9,Not Solved,11.35,7.61,300.1
CON3-6,50,7341109.0,6406621.7,6280262.7,5740307.9,Not Solved,10.4,8.6,300.2
CON3-7,50,8290151.0,7519690.5,7497476.5,6739201.9,Not Solved,10.38,10.11,300.2
CON3-8,50,8239189.0,6673591.9,6674530.9,6075738.9,Not Solved,8.96,8.97,300.1
CON3-9,50,7188232.0,7376577.1,7408422.1,6872032.5,Not Solved,6.84,7.24,300.1
CON8-0,50,3030370.0,12096490.1,12313137.1,11502551.6,Not Solved,4.91,6.58,300.1
CON8-1,50,3473465.0,10655320.0,10668793.0,10273591.1,Not Solved,3.58,3.7,300.2
CON8-2,50,3204355.0,10079410.0,10344580.0,9161452.4,Not Solved,9.11,11.44,300.1
CON8-3,50,3185245.0,11733075.2,12213194.1,11020609.3,Not Solved,6.07,9.76,300.1
CON8-4,50,3291136.0,11178327.8,10938549.8,10189269.0,Not Solved,8.85,6.85,300.1
CON8-5,50,2897026.0,11080355.3,11017246.3,10117627.0,Not Solved,8.69,8.17,300.1
CON8-6,50,2752916.0,9698837.9,9774092.9,8760357.6,Not Solved,9.68,10.37,300.1
CON8-7,50,3108806.0,12012955.2,11873790.2,10933228.1,Not Solved,8.99,7.92,300.1
CON8-8,50,3089696.0,11086709.2,11085967.2,10068352.4,Not Solved,9.19,9.18,300.2
CON8-9,50,2695587.0,11765654.0,11428234.0,10394561.9,Not Solved,11.65,9.04,300.1
SCA3-0,50,8236853.0,8340883.1,8272453.1,7364633.5,Not Solved,11.7,10.97,300.1
SCA3-1,50,7725037.0,9087681.2,9048701.2,8106149.0,Not Solved,10.8,10.42,300.1
SCA3-2,50,8326711.0,8765359.1,8626982.1,8064827.6,Not Solved,7.99,6.52,300.1
SCA3-3,50,8595056.0,8980096.9,8830444.9,7996246.0,Not Solved,10.96,9.45,300.1
SCA3-4,50,9863399.0,9040996.3,9040996.3,8246335.6,Not Solved,8.79,8.79,300.1
SCA3-5,50,8131740.0,8880917.2,8647678.2,7823140.1,Not Solved,11.91,9.53,300.1
SCA3-6,50,8066750.0,8626324.1,8408482.1,7544049.9,Not Solved,12.55,10.28,300.1
SCA3-7,50,8335093.0,8758578.1,8758578.1,7954668.7,Not Solved,9.18,9.18,300.1
SCA3-8,50,8270102.0,9392773.3,9372979.3,8329305.2,Not Solved,11.32,11.13,300.1
SCA3-9,50,7538443.0,8914501.9,8944939.9,8032078.7,Not Solved,9.9,10.21,300.1
SCA8-0,50,3088820.0,14125328.1,14426753.1,12727429.3,Not Solved,9.9,11.78,300.1
SCA8-1,50,2896889.0,15570374.6,15314237.6,13771413.4,Not Solved,11.55,10.07,300.1
SCA8-2,50,3122516.0,15598325.7,15707972.7,14044704.4,Not Solved,9.96,10.59,300.1
SCA8-3,50,3223146.0,14756012.3,15258743.8,13396177.2,Not Solved,9.22,12.21,300.1
SCA8-4,50,3698775.0,15616534.5,15716132.5,14223014.7,Not Solved,8.92,9.5,300.1
SCA8-5,50,3049402.0,15044676.1,15166877.1,13579874.3,Not Solved,9.74,10.46,300.1
SCA8-6,50,3025031.0,14188559.9,14183387.9,12704030.7,Not Solved,10.46,10.43,300.1
SCA8-7,50,3125659.0,16018588.8,16150094.8,14239437.2,Not Solved,11.11,11.83,300.1
SCA8-8,50,3101288.0,15754779.4,15612862.4,14207778.8,Not Solved,9.82,9.0,300.1
SCA8-9,50,2826917.0,15489048.1,15886089.1,14138985.4,Not Solved,8.72,11.0,300.1
