scenario,seed,B,cfail_ratio,corr_endpoint_peak,peak_overflow_rate,none_cost,none_fail,none_ho,v1_myo_cost,v1_myo_fail,v1_myo_ho,v1_myo_saving,v1_tun_cost,v1_tun_fail,v1_tun_ho,v1_tun_saving,fb_tun_cost,fb_tun_fail,fb_tun_ho,fb_tun_saving,v2_lsm_cost,v2_lsm_fail,v2_lsm_ho,v2_lsm_saving
collect_then_deliver,0,7.5898,5.0,,0.1015,0.5075,0.1015,0.0,0.5075,0.1015,0.0,0.0,0.5075,0.1015,0.0,0.0,0.25817,0.0208,0.1544,49.13,0.24283,0.021,0.1378,52.15
collect_then_deliver,1,7.6265,5.0,,0.0964,0.48208,0.0964,0.0,0.48208,0.0964,0.0,0.0,0.48208,0.0964,0.0,0.0,0.24458,0.0203,0.1433,49.27,0.23425,0.0174,0.1472,51.41
collect_then_deliver,2,7.5969,5.0,,0.1037,0.51875,0.1037,0.0,0.51875,0.1037,0.0,0.0,0.51875,0.1037,0.0,0.0,0.26158,0.0276,0.1237,49.57,0.24767,0.0237,0.1293,52.26
collect_then_deliver,3,7.6045,5.0,,0.0997,0.49833,0.0997,0.0,0.49833,0.0997,0.0,0.0,0.49833,0.0997,0.0,0.0,0.25333,0.0289,0.1087,49.16,0.24225,0.0206,0.1393,51.39
collect_then_deliver,4,7.5839,5.0,,0.0982,0.49083,0.0982,0.0,0.49083,0.0982,0.0,0.0,0.49083,0.0982,0.0,0.0,0.25067,0.0213,0.1444,48.93,0.2345,0.0182,0.1432,52.22
milk_run_regime,0,15.6792,5.0,1.0,0.1029,0.51458,0.1029,0.0,0.33367,0.0004,0.3316,35.16,0.21875,0.0179,0.1292,57.49,0.21875,0.0179,0.1292,57.49,0.18842,0.0079,0.1488,63.38
milk_run_regime,1,15.7735,5.0,1.0,0.0979,0.48958,0.0979,0.0,0.31808,0.0008,0.3143,35.03,0.1985,0.0116,0.1406,59.46,0.1985,0.0116,0.1406,59.46,0.17642,0.0074,0.1393,63.97
milk_run_regime,2,15.7445,5.0,1.0,0.0975,0.4875,0.0975,0.0,0.32225,0.001,0.3172,33.9,0.20775,0.0094,0.1607,57.38,0.20775,0.0094,0.1607,57.38,0.18192,0.0087,0.1386,62.68
milk_run_regime,3,15.7153,5.0,1.0,0.0985,0.4925,0.0985,0.0,0.319,0.0004,0.3169,35.23,0.19358,0.0122,0.1328,60.69,0.19358,0.0122,0.1328,60.69,0.175,0.0081,0.1346,64.47
milk_run_regime,4,15.7443,5.0,1.0,0.1006,0.50292,0.1006,0.0,0.31917,0.0003,0.3179,36.54,0.20475,0.0111,0.1493,59.29,0.20475,0.0111,0.1493,59.29,0.17775,0.0083,0.1361,64.66
high_cost_ratio,0,15.6792,20.0,1.0,0.1029,2.05833,0.1029,0.0,0.52475,0.0,0.5248,74.51,0.29375,0.0029,0.2354,85.73,0.29375,0.0029,0.2354,85.73,0.23883,0.0013,0.2122,88.4
high_cost_ratio,1,15.7735,20.0,1.0,0.0979,1.95833,0.0979,0.0,0.537,0.0,0.537,72.58,0.28542,0.0018,0.2487,85.43,0.28542,0.0018,0.2487,85.43,0.24442,0.0025,0.1944,87.52
high_cost_ratio,2,15.7445,20.0,1.0,0.0975,1.95,0.0975,0.0,0.58683,0.0,0.5868,69.91,0.28467,0.0023,0.238,85.4,0.28467,0.0023,0.238,85.4,0.25133,0.0025,0.2013,87.11
high_cost_ratio,3,15.7153,20.0,1.0,0.0985,1.97,0.0985,0.0,0.55383,0.0001,0.5522,71.89,0.28233,0.002,0.2423,85.67,0.28367,0.002,0.2437,85.6,0.2295,0.0017,0.1962,88.35
high_cost_ratio,4,15.7443,20.0,1.0,0.1006,2.01167,0.1006,0.0,0.55342,0.0,0.5534,72.49,0.29792,0.0024,0.2496,85.19,0.29792,0.0024,0.2496,85.19,0.21133,0.0005,0.2013,89.49
