Instance,Plan,N_cust,K_routes,Travel_km,Fixed_cost,none_rec,none_TBC,none_HO,none_fail,v1_end_rec,v1_end_TBC,v1_end_HO,v1_end_fail,v1_end_saving,v1_end_gap,v1_myo_rec,v1_myo_TBC,v1_myo_HO,v1_myo_fail,v1_myo_saving,v1_myo_gap,fb_tau_rec,fb_tau_TBC,fb_tau_HO,fb_tau_fail,fb_tau_saving,fb_tau_gap,v2_lsm_rec,v2_lsm_TBC,v2_lsm_HO,v2_lsm_fail,v2_lsm_saving,v2_lsm_gap,dp_n_rec,dp_n_TBC,dp_n_HO,dp_n_fail,dp_n_saving,dp_n_gap,dp_xl_rec,dp_xl_TBC,dp_xl_HO,dp_xl_fail,dp_xl_saving,dp_xl_gap,oracle_rec,oracle_TBC,oracle_HO,oracle_fail,oracle_saving,solve_s,eval_s
CON3-0,GNRS,50,4,632.71,203.27,59.43,262.7,0.0,0.1931,30.94,234.21,0.1881,0.027,47.94,27.01,54.09,257.36,0.3871,0.0003,8.98,86.32,30.12,233.39,0.1914,0.024,49.33,24.89,26.87,230.15,0.2021,0.0151,54.78,16.59,27.4,230.68,0.2121,0.0131,53.89,17.95,26.56,229.83,0.2046,0.0131,55.31,15.79,20.4,223.67,0.1931,0.0,65.68,0.0,0.8
CON3-0,BSIM,50,5,645.89,239.59,26.59,266.18,0.0,0.0682,14.5,254.09,0.0716,0.0074,45.47,28.74,28.21,267.79,0.1484,0.0013,-6.06,109.5,14.27,253.86,0.06,0.0137,46.33,27.39,12.81,252.4,0.0662,0.0084,51.84,18.74,13.39,252.98,0.0744,0.0067,49.65,22.19,12.37,251.96,0.0719,0.005,53.49,16.16,9.63,249.22,0.0682,0.0,63.8,0.0,0.8
CON3-2,GNRS,50,4,539.89,193.99,37.98,231.97,0.0,0.1481,19.19,213.18,0.1634,0.0101,49.48,26.61,38.13,232.11,0.3246,0.0008,-0.37,100.55,18.81,212.8,0.1492,0.0149,50.49,25.12,16.4,210.39,0.1578,0.0101,56.82,15.72,16.42,210.41,0.1658,0.007,56.76,15.81,15.59,209.57,0.1603,0.0066,58.97,12.53,12.38,206.37,0.1481,0.0,67.42,32.5,1.0
CON3-2,BSIM,50,5,543.79,229.38,17.76,247.14,0.0,0.0568,9.49,238.87,0.0524,0.008,46.58,28.16,19.31,248.69,0.119,0.0004,-8.74,113.48,9.49,238.87,0.0524,0.008,46.58,28.16,8.07,237.44,0.0577,0.0044,54.58,15.82,8.92,238.3,0.0654,0.0045,49.74,23.28,7.98,237.36,0.0612,0.0031,55.07,15.06,6.24,235.62,0.0568,0.0,64.83,32.5,0.9
CON3-1,GNRS,50,4,565.7,196.57,49.67,246.24,0.0,0.1826,25.18,221.75,0.1724,0.0238,49.32,25.65,46.78,243.35,0.3593,0.0006,5.83,91.22,25.2,221.77,0.1628,0.0296,49.26,25.74,22.1,218.67,0.187,0.0163,55.52,16.31,21.6,218.17,0.1962,0.0094,56.52,14.79,21.04,217.61,0.1941,0.009,57.65,13.09,16.72,213.29,0.1826,0.0,66.33,37.5,0.8
CON3-1,BSIM,50,5,586.76,233.68,31.24,264.92,0.0,0.0973,16.65,250.33,0.0911,0.0156,46.71,29.88,31.59,265.26,0.2004,0.0008,-1.1,101.65,16.65,250.33,0.0912,0.0155,46.71,29.89,13.91,247.59,0.1018,0.0078,55.47,16.73,14.1,247.78,0.1089,0.0052,54.87,17.64,13.72,247.4,0.1053,0.0059,56.09,15.8,10.43,244.11,0.0973,0.0,66.62,37.5,0.9
CON3-3,GNRS,50,4,650.51,205.05,68.62,273.67,0.0,0.2518,34.3,239.35,0.2393,0.0311,50.02,25.34,55.28,260.33,0.4296,0.001,19.44,70.98,34.22,239.27,0.2261,0.0389,50.13,25.16,29.6,234.65,0.2636,0.0165,56.87,15.1,29.5,234.55,0.2655,0.0136,57.01,14.89,28.65,233.7,0.2639,0.0129,58.25,13.04,22.65,227.7,0.2518,0.0,66.99,36.7,1.0
CON3-3,BSIM,50,5,647.85,239.78,35.84,275.62,0.0,0.1187,19.31,259.09,0.1137,0.0158,46.12,31.26,37.65,277.43,0.2449,0.0012,-5.05,107.53,19.31,259.09,0.1137,0.0158,46.12,31.26,15.19,254.97,0.1287,0.0071,57.61,14.13,15.48,255.27,0.127,0.0071,56.79,15.36,15.05,254.83,0.1301,0.0058,58.02,13.54,11.79,251.58,0.1187,0.0,67.1,36.7,1.0
CON3-4,GNRS,50,4,619.81,201.98,54.32,256.3,0.0,0.1864,27.58,229.56,0.1846,0.02,49.23,25.32,47.84,249.82,0.3441,0.0015,11.93,81.9,27.71,229.69,0.1859,0.0199,48.99,25.69,24.31,226.29,0.1853,0.0173,55.25,16.2,24.73,226.71,0.2013,0.0102,54.47,17.37,23.88,225.86,0.1959,0.0109,56.04,14.99,18.51,220.49,0.1864,0.0,65.92,34.6,1.0
CON3-4,BSIM,50,5,637.79,238.78,27.28,266.06,0.0,0.0785,14.82,253.6,0.0719,0.0135,45.68,30.27,26.52,265.3,0.1628,0.0011,2.79,95.73,14.76,253.53,0.0695,0.0152,45.91,29.92,12.75,251.53,0.081,0.0074,53.25,18.71,13.54,252.32,0.0833,0.0075,50.38,23.1,12.51,251.28,0.0816,0.0065,54.16,17.33,9.41,248.19,0.0785,0.0,65.51,34.6,0.9
