instance,source,profile,policy,repetition,seed,N,dimension,alpha,capacity,iterations,direction,calls,coverage,certified_feasible,certified_infeasible,fallbacks,mean_pieces,mean_route_length_checked,K,distance,objective_raw,full_gate_seconds,cert_gate_seconds,full_solver_seconds,cert_solver_seconds,gate_speedup,solver_speedup,solver_speedup_with_prep,prep_seconds,explained_variance,effective_rank,entropy_rank,top_share,residual_cvar,audit_checks,identity_pass
CON3-0,CON3-0.vrpspd,moderate,WDRO,0,52026,50000,10,0.9,686.8838949999999,20,SLOPE,11132,0.53099173553719,4384,1527,5221,4.143550125763564,11.287549407114625,5,657.7975999999999,845.468774117647,172.8738025999637,61.336899300023106,173.10184760000084,61.52117890000045,2.81843074189925,2.813695229757692,2.8129993915421987,0.015218200000163051,0.09943670037888847,1.1986707418972964,1.4508599731607275,0.9103088726315018,4.059642893894834,511,1
CON3-0,CON3-0.vrpspd,moderate,WDRO,1,62033,50000,10,0.9,686.8838949999999,20,SLOPE,10594,0.5469133471776477,4796,998,4800,4.069001321502737,10.83660562582594,5,651.0797,838.7508741176471,105.84523079999144,55.503589499987356,105.98684529999991,55.665917100000115,1.90699793929572,1.903980942406852,1.903460565754653,0.015218200000163051,0.09943670037888847,1.1986707418972964,1.4508599731607275,0.9103088726315018,4.059642893894834,511,1
CON3-0,CON3-0.vrpspd,moderate,WDRO,2,72040,50000,10,0.9,686.8838949999999,20,SLOPE,13134,0.5180447693010507,5473,1331,6330,3.993071417694533,11.139333028780264,5,657.7975999999999,845.468774117647,138.06480180001563,75.09693499995774,138.23201879999942,75.3080060000002,1.8384878397512938,1.8355554228855702,1.8351845698076046,0.015218200000163051,0.09943670037888847,1.1986707418972964,1.4508599731607275,0.9103088726315018,4.059642893894834,511,1
CON3-1,CON3-1.vrpspd,moderate,WDRO,0,102026,50000,10,0.9,787.318705,20,SLOPE,10247,0.4113399043622524,3676,539,6032,3.7636381379916073,11.559188055040499,5,605.5763,785.9123537254902,117.40508930000306,74.4268241000309,117.53444219999983,74.58972710000035,1.5774566592040613,1.5757457061402667,1.5754185801209177,0.015488099999856786,0.09961155206479348,1.2470022441669082,1.5133625938216217,0.8903415847225523,4.064959922837222,437,1
CON3-1,CON3-1.vrpspd,moderate,WDRO,1,112033,50000,10,0.9,787.318705,20,SLOPE,11314,0.4382181368216369,4294,664,6356,3.7929998232278592,11.76339048965883,5,595.8143,776.1503537254903,130.99197690007531,84.10418100007246,131.1368438999998,84.29170030000023,1.5574966112560142,1.55575036964819,1.5554645622602647,0.015488099999856786,0.09961155206479348,1.2470022441669082,1.5133625938216217,0.8903415847225523,4.064959922837222,437,1
CON3-1,CON3-1.vrpspd,moderate,WDRO,2,122040,50000,10,0.9,787.318705,20,SLOPE,10858,0.4462147725179591,4021,824,6013,3.7636765518511694,11.851538036470805,5,604.1061,784.4421537254902,127.99879130001136,73.82369540005675,128.15103140000065,74.01989869999943,1.7338442705472175,1.7313051443017125,1.7309429576722613,0.015488099999856786,0.09961155206479348,1.2470022441669082,1.5133625938216217,0.8903415847225523,4.064959922837222,437,1
CON3-2,CON3-2.vrpspd,moderate,WDRO,0,152026,50000,10,0.9,726.3204099999999,20,SLOPE,11015,0.4182478438492964,3903,704,6408,4.170403994552882,12.058374943259192,4,542.847,672.9683352156862,123.6178105999652,78.19685549999303,123.7795543000002,78.39410399999997,1.5808539845950227,1.5789395883649648,1.5785938644033979,0.0171688999998878,0.09985959276913488,1.236793060512684,1.5042194801492956,0.8946219380941445,4.066173022536861,578,1
CON3-2,CON3-2.vrpspd,moderate,WDRO,1,162033,50000,10,0.9,726.3204099999999,20,SLOPE,12207,0.48488572130744656,4868,1051,6288,4.306381584336856,12.100352256901777,4,545.5692,675.6905352156863,139.3963271999928,78.77373750005609,139.56688870000016,78.98244780000005,1.7695786898507078,1.7670620826213503,1.7666780489581828,0.0171688999998878,0.09985959276913488,1.236793060512684,1.5042194801492956,0.8946219380941445,4.066173022536861,578,1
CON3-2,CON3-2.vrpspd,moderate,WDRO,2,172040,50000,10,0.9,726.3204099999999,20,SLOPE,10077,0.4285005457973603,3405,913,5759,4.279051304951871,12.224074625384539,4,542.847,672.9683352156862,115.70880739999484,70.44432090000555,115.84252370000013,70.61444529999972,1.6425569289572883,1.640493290117236,1.6400945244148304,0.0171688999998878,0.09985959276913488,1.236793060512684,1.5042194801492956,0.8946219380941445,4.066173022536861,578,1
CON3-3,CON3-3.vrpspd,moderate,WDRO,0,202026,50000,10,0.9,721.988895,20,SLOPE,10221,0.49955972996771353,4623,483,5115,3.4239311221993933,11.040994031895117,5,651.4406,844.4835027450981,105.46828189999451,61.37790340001902,105.60112860000027,61.54076390000046,1.7183428572433417,1.7159541401142646,1.715524486569463,0.015412900000228547,0.09987949867593916,1.2419506593590797,1.5097638777430804,0.8924750946841382,4.060372387354415,1148,1
